"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3150000","315000001020200003","2020-06-16","","01","영업/정상","0000","정상","","","","","02-2235-1533","","","서울특별시 강서구 등촌동 680 한울빌딩","서울특별시 강서구 강서로62길 10, 한울빌딩 1층 (등촌동)","07583","차지우동물병원","2023-03-01 17:19:34","U","2022-12-03 00:03:00.0","","185831.959022199","451192.093585364","","","","",""
"3150000","315000001020020007","2002-12-05","","01","영업/정상","0000","정상","","","","","3665-5982","0","","서울특별시 강서구 내발산동 655-12","서울특별시 강서구 강서로 333, 104호 105호 (내발산동)","07632","박동물병원","2023-02-28 17:53:20","U","2022-12-03 00:03:00.0","","185521.368171349","450368.363433796","","","","",""
"3230000","323000001019930002","1993-07-02","","01","영업/정상","0000","정상","","","","","02-414-0075","0","","서울특별시 송파구 방이동 124-8 남양빌딩","서울특별시 송파구 오금로 203, 남양빌딩 (방이동)","05643","페토피아종합동물병원","2023-02-28 15:01:48","U","2022-12-03 00:03:00.0","","210245.052534968","445108.572829289","","","","",""
"3240000","324000001020230001","2023-03-07","","01","영업/정상","0000","정상","","","","","02-3427-6419","","","서울특별시 강동구 고덕동 191-3","서울특별시 강동구 고덕로83길 32, 2층 (고덕동)","05222","피카소동물병원","2023-03-07 10:38:17","I","2022-12-03 00:09:00.0","","214846.333741577","450705.80005269","","","","",""
"3110000","311000001020230003","2023-09-27","","01","영업/정상","0000","정상","","","","","02-358-1591","","","서울특별시 은평구 갈현동 431-5","서울특별시 은평구 연서로29길 24, 2층 (갈현동)","03330","도그원동물의료센터","2023-09-27 17:41:13","I","2022-12-08 22:09:00.0","","192667.438048047","457480.990067897","","","","",""
"3190000","319000001020180001","2018-01-03","","01","영업/정상","0000","정상","","","","","02-3280-8275","108","","서울특별시 동작구 상도동 27-12 성은빌딩","서울특별시 동작구 상도로 214, 성은빌딩 1층 (상도동)","06964","유케어종합동물병원","2023-03-10 17:39:08","U","2022-12-02 23:02:00.0","","194835.762213041","444759.157628603","","","","",""
"3110000","311000001020210001","2021-04-29","","01","영업/정상","0000","정상","","","","","0269527519","","","서울특별시 은평구 역촌동 7-15 대광빌딩","서울특별시 은평구 연서로 122, 대광빌딩 1,2층 (역촌동)","03399","24시예담동물의료센터","2023-06-08 13:41:53","U","2022-12-05 23:00:00.0","","192585.264208023","456365.497357858","","","","",""
"3020000","302000001020230002","2023-03-16","","01","영업/정상","0000","정상","","","","","","102.53","","서울특별시 용산구 한강로3가 98","서울특별시 용산구 서빙고로 17, 헤링턴스퀘어 센트럴파크 몰동 1146, 1147호 (한강로3가)","04387","에스동물병원","2023-03-16 18:43:31","I","2022-12-02 23:08:00.0","","197056.728931087","447077.126289262","","","","",""
"3220000","322000001020200004","2020-08-12","","03","폐업","0002","폐업","2023-03-16","","","","02-571-4478","","","서울특별시 강남구 도곡동 517-3 보석빌딩 202호","서울특별시 강남구 논현로28길 37, 보석빌딩 202호 (도곡동)","06301","대성동물약품병원","2023-03-16 18:08:18","U","2022-12-02 23:08:00.0","","203898.465429335","442452.178802374","","","","",""
"3090000","309000001020180006","2018-11-15","","01","영업/정상","0000","정상","","","","","955-8400","0","","서울특별시 도봉구 도봉동 562-26","서울특별시 도봉구 도봉로 875 (도봉동)","01304","도담동물병원","2023-03-16 13:38:50","U","2022-12-02 23:08:00.0","","203947.714821842","464474.910004698","","","","",""
"3220000","322000001020030013","2003-07-19","","01","영업/정상","0000","정상","","","","","02-3412-0067","0","","서울특별시 강남구 일원동 684 남경빌딩 1층","서울특별시 강남구 일원로 35, 남경빌딩 1층 (일원동)","06343","서경석동물병원","2023-03-17 13:36:37","U","2022-12-02 23:09:00.0","","207112.195695469","443163.101895121","","","","",""
