시군구_코드,법정동_코드,번,지,건물_명,새주소_도로_코드,새주소_본_번,새주소_부_번
강남구,개포동,1234,10,W하우스2,서울특별시 강남구 논현로18길,14.0,17.0
강남구,개포동,12,0,대치종합상가,서울특별시 강남구 개포로109길,9.0,
강남구,개포동,1254,1,그린빌,서울특별시 강남구 개포로25길,21.0,7.0
강남구,개포동,649,0,경남아파트 제6동,서울특별시 강남구 언주로,110.0,0.0
강남구,개포동,1216,6,개포 여유재,서울특별시 강남구 개포로24길,15.0,0.0
강남구,개포동,12,0,대치아파트211동,서울특별시 강남구 개포로109길,9.0,
강남구,개포동,1196,9,Classe,서울특별시 강남구 논현로12길,9.0,6.0
강남구,개포동,177,0,현대아파트 제5동,서울특별시 강남구 개포로,409.0,0.0
강남구,개포동,187,0,개포주공아파트 제504동,서울특별시 강남구 삼성로4길,17.0,
강남구,개포동,654,0,현대아파트205동,서울특별시 강남구 언주로,107.0,0.0
강남구,개포동,1240,1,상헌새티스빌,서울특별시 강남구 개포로15길,11.0,0.0
강남구,개포동,12,0,대치아파트 제209동,서울특별시 강남구 개포로109길,9.0,
강남구,개포동,1166,7,개포동 1166-7 공동주택,서울특별시 강남구 논현로2길,41.0,0.0
강남구,개포동,187,0,개포주공아파트 제503동,서울특별시 강남구 삼성로4길,17.0,0.0
강남구,개포동,12,4,석탑프라자,서울특별시 강남구 개포로,615.0,
강남구,개포동,652,0,우성아파트 제1동,서울특별시 강남구 개포로,307.0,0.0
강남구,개포동,1281,0,디에이치아너힐즈,서울특별시 강남구 삼성로,11.0,
강남구,개포동,658,1,개포6차우성아파트 제4동,서울특별시 강남구 언주로,3.0,
강남구,개포동,654,0,현대아파트 상가,서울특별시 강남구 언주로,107.0,0.0
강남구,개포동,1163,8,라운지,서울특별시 강남구 양재대로,333.0,
강남구,개포동,12,0,대치아파트215동,서울특별시 강남구 개포로109길,9.0,
강남구,개포동,1199,8,비엔미 빌,서울특별시 강남구 논현로12길,23.0,8.0
강남구,개포동,652,0,우성아파트제2동,서울특별시 강남구 개포로,307.0,0.0
강남구,개포동,654,0,현대아파트201동,서울특별시 강남구 언주로,107.0,
강남구,개포동,185,0,개포주공아파트,서울특별시 강남구 개포로,516.0,0.0
강남구,개포동,1255,10,베네스트,서울특별시 강남구 개포로25길,13.0,10.0
강남구,개포동,1193,5,개포 비버리하임,서울특별시 강남구 논현로12길,14.0,
강남구,개포동,185,0,개포주공 7단지상가,서울특별시 강남구 개포로,516.0,
강남구,개포동,185,0,개포주공아파트 제705동,서울특별시 강남구 개포로,516.0,
강남구,개포동,1216,9,노블레스,서울특별시 강남구 개포로24길,9.0,
강남구,개포동,169,8,누리찬빌라,서울특별시 강남구 선릉로10길,23.0,0.0
강남구,개포동,185,0,개포주공아파트 제704동,서울특별시 강남구 개포로,516.0,
강남구,개포동,185,0,개포주공아파트 제609동,서울특별시 강남구 개포로,516.0,
강남구,개포동,652,0,우성아파트 제3동,서울특별시 강남구 개포로,307.0,0.0
강남구,개포동,1272,0,국악고등학교,서울특별시 강남구 개포로22길,65.0,
강남구,개포동,658,1,개포6차우성아파트7동,서울특별시 강남구 언주로,3.0,0.0
강남구,개포동,187,0,개포주공아파트 제502동,서울특별시 강남구 삼성로4길,17.0,
강남구,개포동,1204,5,리치타운아파트,서울특별시 강남구 개포로28길,28.0,0.0
강남구,개포동,1282,2,예지어린이집,서울특별시 강남구 언주로7길,23.0,0.0
강남구,개포동,187,0,개포주공아파트 제501동,서울특별시 강남구 삼성로4길,17.0,
강남구,개포동,1198,0,지오빌,서울특별시 강남구 논현로12길,23.0,9.0
강남구,개포동,654,0,현대아파트206동,서울특별시 강남구 언주로,107.0,
강남구,개포동,185,0,개포주공아파트 제606동,서울특별시 강남구 개포로,516.0,
강남구,개포동,1224,4,예가풍경채3차,서울특별시 강남구 논현로14길,14.0,0.0
강남구,개포동,14,0,서울수서경찰서,서울특별시 강남구 개포로,617.0,0.0
강남구,개포동,177,0,현대아파트 제4동,서울특별시 강남구 개포로,409.0,
강남구,개포동,1198,2,T&K개포,서울특별시 강남구 논현로12길,23.0,5.0
강남구,개포동,185,0,개포주공아파트 제605동,서울특별시 강남구 개포로,516.0,
강남구,개포동,1255,7,F.ROAD VILLA,서울특별시 강남구 개포로25길,13.0,4.0
강남구,개포동,1263,8,화이트빌라,서울특별시 강남구 개포로31길,15.0,6.0
강남구,개포동,1254,10,그랑시아,서울특별시 강남구 개포로25길,17.0,4.0
강남구,개포동,1169,11,가우디,서울특별시 강남구 논현로6길,4.0,11.0
강남구,개포동,1205,0,위미르빌,서울특별시 강남구 개포로26길,18.0,0.0
강남구,개포동,1204,7,포이동 어린이집,서울특별시 강남구 개포로22길,39.0,11.0
강남구,개포동,1262,4,초원빌리지,서울특별시 강남구 개포로35길,13.0,
강남구,개포동,1264,4,골든강남빌,서울특별시 강남구 개포로31길,23.0,3.0
강남구,개포동,12,0,대치아파트 제214동,서울특별시 강남구 개포로109길,9.0,0.0
강남구,개포동,649,0,경남아파트 제3동,서울특별시 강남구 언주로,110.0,
강남구,개포동,1175,8,대고샤인빌,서울특별시 강남구 논현로6길,30.0,5.0
강남구,개포동,12,0,대치아파트 제216동,서울특별시 강남구 개포로109길,9.0,0.0
강남구,개포동,1222,2,광영청년공동체주택,서울특별시 강남구 논현로16길,20.0,6.0
강남구,개포동,186,9,상가,서울특별시 강남구 개포로82길,9.0,15.0
강남구,개포동,1206,5,서현하이츠빌라,서울특별시 강남구 개포로26길,27.0,0.0
강남구,개포동,1252,6,네비스 빌,서울특별시 강남구 개포로21길,25.0,
강남구,개포동,12,6,개포3동 주민센터,서울특별시 강남구 개포로,607.0,
강남구,개포동,170,4,광학빌,서울특별시 강남구 선릉로14길,12.0,
강남구,개포동,1252,8,파라곤빌,서울특별시 강남구 개포로21길,21.0,
강남구,개포동,1174,0,더하임빌,서울특별시 강남구 논현로6길,30.0,0.0
강남구,개포동,654,0,현대아파트210동,서울특별시 강남구 언주로,107.0,0.0
강남구,개포동,1218,17,JAY HAUS,서울특별시 강남구 개포로22길,33.0,
강남구,개포동,176,1,개포동상지리츠빌,서울특별시 강남구 개포로,405.0,
강남구,개포동,1226,5,대림아트빌 1차,서울특별시 강남구 논현로16길,14.0,12.0
강남구,개포동,12,0,대청아파트304동,서울특별시 강남구 개포로109길,21.0,
강남구,개포동,658,1,개포6차우성아파트 제3동,서울특별시 강남구 언주로,3.0,
강남구,개포동,1188,10,하이랜드 빌라,서울특별시 강남구 논현로8길,32.0,18.0
강남구,개포동,1221,5,선경파크빌,서울특별시 강남구 개포로20길,42.0,
강남구,개포동,1184,24,일류빌라,서울특별시 강남구 논현로8길,23.0,0.0
강남구,개포동,1231,8,아무르하우스,서울특별시 강남구 개포로22길,18.0,
강남구,개포동,1218,12,예가풍경채,서울특별시 강남구 개포로24길,32.0,0.0
강남구,개포동,187,0,개포주공아파트 제505동,서울특별시 강남구 삼성로4길,17.0,
강남구,개포동,1226,7,조이하우스빌2차,서울특별시 강남구 논현로16길,10.0,9.0
강남구,개포동,1196,13,포이동 196-13 다세대주택,서울특별시 강남구 논현로12길,9.0,14.0
강남구,개포동,1191,1,형우빌딩,서울특별시 강남구 논현로,24.0,
강남구,개포동,1176,2,한빛빌라,서울특별시 강남구 논현로4길,39.0,
강남구,개포동,654,0,현대아파트203동,서울특별시 강남구 언주로,107.0,0.0
강남구,개포동,1171,7,수창스마트빌,서울특별시 강남구 논현로6길,14.0,9.0
강남구,개포동,1221,11,키스톤하우스,서울특별시 강남구 논현로16길,22.0,0.0
강남구,개포동,1196,12,포이동 196-12,서울특별시 강남구 논현로12길,9.0,12.0
강남구,개포동,1221,10,셍상스 1,서울특별시 강남구 논현로16길,20.0,3.0
강남구,개포동,1168,9,드림빌라,서울특별시 강남구 논현로2길,15.0,0.0
강남구,개포동,652,0,우성아파트상가동,서울특별시 강남구 개포로,307.0,
강남구,개포동,1233,8,리아체,서울특별시 강남구 논현로18길,22.0,20.0
강남구,개포동,1264,13,개포동 1264-13 다세대주택,서울특별시 강남구 개포로31길,19.0,16.0
강남구,개포동,1164,13,포이동 새롬아파트,서울특별시 강남구 논현로2길,36.0,0.0
강남구,개포동,1260,0,케이앤에스빌딩,서울특별시 강남구 개포로25길,8.0,
강남구,개포동,1211,1,청아람,서울특별시 강남구 개포로36길,3.0,
강남구,개포동,12,0,대청아파트303동,서울특별시 강남구 개포로109길,21.0,
강남구,개포동,166,3,장원빌라,서울특별시 강남구 선릉로10길,10.0,8.0
강남구,개포동,1282,4,달터근린공원 공원관리소,서울특별시 강남구 개포로28길,75.0,
강남구,개포동,1164,14,새롬아파트,서울특별시 강남구 논현로2길,38.0,0.0
강남구,개포동,164,1,더라이트빌딩,서울특별시 강남구 선릉로10길,18.0,4.0
강남구,개포동,1245,0,동흥빌딩,서울특별시 강남구 개포로15길,8.0,
강남구,개포동,12,0,대치아파트217동,서울특별시 강남구 개포로109길,9.0,
강남구,개포동,1226,6,대림아트빌 2차,서울특별시 강남구 논현로16길,10.0,13.0
강남구,개포동,1192,0,와세다빌딩,서울특별시 강남구 논현로,30.0,
강남구,개포동,167,9,개포동167-9빌딩,서울특별시 강남구 선릉로,34.0,0.0
강남구,개포동,12,0,대청아파트305동,서울특별시 강남구 개포로109길,21.0,
강남구,개포동,1164,26,슈베르트 빌,서울특별시 강남구 논현로2길,64.0,0.0
강남구,개포동,1206,0,개포동삼성베스트빌,서울특별시 강남구 개포로28길,14.0,
강남구,개포동,1206,2,더라움,서울특별시 강남구 개포로28길,18.0,0.0
강남구,개포동,13,3,대청타워,서울특별시 강남구 개포로,623.0,
강남구,개포동,1231,6,민빌딩,서울특별시 강남구 개포로22길,14.0,
강남구,개포동,654,0,현대아파트207동,서울특별시 강남구 언주로,107.0,0.0
