영업내용,사업장명칭,소재지 주소(지번)
동물 ( 판매 ),도그케슬,"서울특별시 강남구 청담동 20-18 지하1층, 지상1층 "
동물 ( 판매 ),슈퍼바우,서울특별시 강남구 신사동 657-6 1층 
동물 ( 판매 ),요미독 강아지 고양이 분양 애견샵 강남점,서울특별시 강남구 역삼동 681-4 1층 
동물 ( 판매 ),강남고양이 분양 히어로펫,서울특별시 강남구 논현동 159-23 보령빌딩 
동물 ( 판매 ),킴스토리 청담,서울특별시 강남구 청담동 7-3 1층 
동물 ( 판매 ),미니펫 강아지고양이 강남점,서울특별시 강남구 역삼동 659-12 1층 
동물 ( 판매 ),어바웃독,서울특별시 강남구 역삼동 770-15 RICHNOA VILL 
동물 ( 판매 ),강아지마을2012,서울특별시 강남구 신사동 
동물 ( 판매 ),멈미스,서울특별시 강남구 청담동 132-15 103호
동물 ( 판매 ),베이비몽강남점,서울특별시 강남구 신사동 662-16 1층 
동물 ( 판매 ),프블리,서울특별시 강남구 신사동 574-3 신운빌딩 103호
동물 ( 판매 ),스타돌스,서울특별시 강남구 신사동 582-3 103호 
동물 ( 판매 ),청담독,서울특별시 강남구 삼성동 52-3 1층 4호 
동물 ( 판매 ),강남 고양이 분양 캣프렌즈,서울특별시 강남구 신사동 534-3 202호
동물 ( 판매 ),위드마이퍼피,서울특별시 강남구 삼성동 118 
동물 ( 판매 ),달이네 애견미용실,서울특별시 강남구 논현동 125-17 1층 
동물 ( 판매 ),화이트파크,서울특별시 강남구 청담동 123-17 청맥빌딩 1~2층 
동물 ( 판매 ),고양이 나비캣 강남점,서울특별시 강남구 논현동 65 1층 
동물 ( 판매 ),Pet.J,서울특별시 강남구 청담동 93-10 
동물 ( 판매 ),한남동 강아지 in 신사,서울특별시 강남구 논현동 18-1 나라키움 논현동A주택 101호
동물 ( 판매 ),더왈츠앤조이피아,서울특별시 강남구 역삼동 834-8 MS빌딩 1층 
동물 ( 판매 ),라온캣 강남점,서울특별시 강남구 논현동 110-21 1층 
동물 ( 판매 ),도그마루 강아지고양이 강남점,서울특별시 강남구 역삼동 830-41 네스빌 1층 
동물 ( 판매 ),루피퍼피 강아지 강남점,서울특별시 강남구 논현동 198-20 
동물 ( 판매 ),청담펫츠,서울특별시 강남구 논현동 102-19 한솔빌딩 1층 
동물 ( 판매 ),스누피독 miniteacuppuppy,서울특별시 강남구 신사동 517-14 
동물 ( 판매 ),제이제이캣,서울특별시 강남구 논현동 195 2층 201호
동물 ( 판매 ),브리더클럽,서울특별시 강남구 대치동 955-6 H 복합빌딩 4층 
동물 ( 판매 ),강남고양이분양 네발하우스,서울특별시 강남구 논현동 256-14 
동물 ( 판매 ),아이조아요양보호소 강남점,서울특별시 강남구 논현동 256-14 
동물 ( 판매 ),강남고양이분양 묘연,서울특별시 강남구 신사동 569-24 
동물 ( 판매 ),(주)요기독 강아지랑 고양이랑 강남본점,서울특별시 강남구 역삼동 792-3 
동물 ( 판매 ),줄리캣,서울특별시 강남구 논현동 198-20 
동물 ( 판매 ),에이컷,서울특별시 강남구 삼성동 125-6 
동물 ( 판매 ),아담스펫 강아지&가필드 고양이,서울특별시 강남구 신사동 566-18 
