주차장관리번호,주차장명,소재지도로명주소,주차구획수,운영요일,위도,경도,1시간 기준 요금
122-2-000025,탄천제2호,서울특별시 강남구 양재대로 55길28,322,평일+토요일+공휴일,37.49314747,127.0877676,1200
122-2-000026,밤고개로21길,서울특별시 강남구 개포로 623-1,109,평일+토요일+공휴일,37.49491581,127.0793202,1200
122-2-000028,대왕초교,서울특별시 강남구 헌릉로 618길 8,101,평일+토요일+공휴일,37.46462136,127.1055895,1200
122-2-000024,영희초교,서울특별시 강남구 일원로21,186,평일+토요일+공휴일,37.4923004,127.0811312,1200
122-2-000027,일원1동(기계식),서울특별시 강남구 양재대로 27길 5,66,평일,37.48956575,127.0817931,1200
122-2-000023,대청역,서울특별시 강남구 개포로 623-1,163,평일+토요일+공휴일,37.49491581,127.0793202,1200
122-2-000022,탄천주차장,서울특별시 강남구 봉은사로114길13,833,평일+토요일+공휴일,37.51411154,127.0664911,1200
122-1-000022,일원동맛의거리,서울특별시 강남구 일원로 53,42,평일,37.48926358,127.0818109,1200
122-1-000020,대치유수지,서울특별시 강남구 역삼로107길 20-30,56,평일,37.50431853,127.0680522,2400
122-1-000021,압구정로29길,서울특별시 강남구 압구정로29길 51,140,평일,37.53084614,127.0271391,2400
122-2-000016,구룡산제2호,서울특별시 강남구 양재대로 478,132,평일,37.47606698,127.0672851,2400
122-2-000019,포이초교,서울특별시 강남구 개포로22길 87,194,평일+토요일+공휴일,37.47591562,127.0525106,2400
122-2-000017,논현로22길,서울특별시 강남구 개포로25길 32,86,평일+토요일+공휴일,37.48202648,127.0484224,2400
122-2-000020,개포동공원,서울특별시 강남구 개포로 509,149,평일+토요일+공휴일,37.48970767,127.0682922,2400
122-2-000021,언주초교,서울특별시 강남구 남부순환로363길19,191,평일+토요일+공휴일,37.48632308,127.0367927,2400
122-2-000015,구룡산제1호,서울특별시 강남구 양재대로 478,92,평일,37.47606698,127.0672853,2400
122-2-000012,논현초교,서울특별시 강남구 강남대로 120길33,192,평일+토요일+공휴일,37.50849066,127.0262217,3600
122-2-000011,대치2문화센터,서울특별시 강남구 영동대로 65길 24,159,평일+토요일+공휴일,37.50230604,127.0641871,3600
122-2-000013,도곡초교,서울특별시 강남구 선릉로 64길 33,200,평일+토요일+공휴일,37.49951063,127.0544636,3600
122-2-000010,언북초교,서울특별시 강남구 삼성로 135길 42,225,평일+토요일+공휴일,37.52012607,127.0447141,3600
122-2-000009,논현로32길15,서울특별시 강남구 논현로 32길15,16,평일+토요일+공휴일,37.48425211,127.0434399,3600
122-3-000001,구청 부설,서울특별시 강남구 학동로426,186,평일,37.51796636,127.0470611,3600
122-3-000002,삼성로별관 부설,서울특별시 강남구 삼성로628,43,평일,37.51590994,127.0521409,3600
122-2-000014,신구초교,서울특별시 강남구 압구정로 18길 28,185,평일+토요일+공휴일,37.52336132,127.0239924,3600
122-2-000029,역삼문화공원,서울특별시 강남구 테헤란로7길 32,51,평일+토요일+공휴일,37.50251419,127.0303905,3600
122-1-000025,개포주공5단지북측,서울특별시 강남구 개포로82길,53,평일+토요일+공휴일,37.48890838,127.0692319,3600
122-1-000013,논현로28길,서울특별시 강남구 논현로28길 25,66,평일,37.48363566,127.0438602,3600
122-1-000019,은마아파트,서울특별시 강남구 삼성로 212,57,평일,37.49961649,127.0659173,3600
122-1-000018,헌릉로745길,서울특별시 강남구 헌릉로745길 37,218,평일,37.47031418,127.1186383,3600
122-1-000017,대치동507-3,서울특별시 강남구 삼성로 151,26,평일,37.49315606,127.063,3600
122-1-000016,남부순환로397길,서울특별시 강남구 남부순환로2921,33,평일,37.49349291,127.0597745,3600
122-1-000015,영동대로96길,서울특별시 강남구 테헤란로103길10,77,평일,37.51020596,127.0643703,3600
122-1-000014,영동대로106길,서울특별시 강남구 영동대로106길33,59,평일,37.51416345,127.0638489,3600
122-1-000023,영동대로86길,서울특별시 강남구 영동대로86길,16,평일,37.50802424,127.0652962,4800
122-1-000006,도산대로45길,서울특별시 강남구 도산대로 323,33,평일,37.52289716,127.0370163,4800
122-1-000003,테헤란로69길,서울특별시 강남구 테헤란로 63길 20,22,평일,37.50652223,127.0503971,4800
122-1-000002,논현로131길,서울특별시 강남구 학동로171,21,평일,37.51404727,127.0295491,4800
122-1-000001,강남대로150길,서울특별시 강남구 도산대로 108,7,평일,37.51619355,127.0206546,4800
122-1-000007,언주로171길,서울특별시 강남구 언주로 857,30,평일,37.52702081,127.0329823,4800
122-1-000008,선릉로146길,서울특별시 강남구 선릉로 742,32,평일,37.52138784,127.0437375,4800
