fid,val,위도,경도,가장가까운인프라지수
"1",2654,37.5125152427485,126.830982341806,0.35
"2",2193,37.5170536704235,126.836599756648,0.45
"3",926,37.5148162652183,126.839448444632,0.35
"4",2561,37.5170853131237,126.842257411601,0.55
"5",2088,37.5215918339213,126.842217851848,0.5
"6",1732,37.5216387974836,126.850704861102,0.35
"7",2862,37.5194165014759,126.856382233836,0.35
"8",2329,37.5149253460906,126.859249695338,0.35
"9",2198,37.5239384178822,126.859172617162,0.45
"10",556,37.5172091741195,126.864888118748,0.35
"11",1237,37.5307287862005,126.864773496635,0.55
"12",2421,37.5465016273672,126.864639674004,0.5
"13",1045,37.5487700818773,126.867450587622,0.45
"14",,37.5510233417786,126.86743154464,0.45
"15",1545,37.5149861877348,126.870564743146,0.35
"16",1815,37.5172394619108,126.870545816991,0.35
"17",4750,37.5239992792189,126.870489025877,0.35
"18",2336,37.535265623999,126.87039433185,0.35
"19",2771,37.542025420426,126.87033749012,0.35
"20",1683,37.5285358486912,126.876109711983,0.35
"21",1853,37.535310576671,126.878882937061,0.35
