people,name,xcoord,ycoord,petNum,petSum,peopleSum
,,940125,1945875,,,0
,,940125,1946375,,,0
,,940125,1946625,,,0
,,940125,1948375,,,0
164.0,신월동,940125,1948625,10.425376028961772,7375.0,116015
,,940125,1948875,,,0
0.0,신월동,940125,1949125,0.0,7375.0,116015
,,940125,1949375,,,0
,,940375,1945625,,,0
,,940375,1945875,,,0
0.0,신월동,940375,1946125,0.0,7375.0,116015
642.0,신정동,940375,1946375,35.534134790528235,9116.0,164700
,신월동,940375,1946625,,7375.0,116015
,신월동,940375,1946875,,7375.0,116015
521.0,,940375,1947125,,,0
74.0,,940375,1947375,,,0
,,940375,1947625,,,0
422.0,신월동,940375,1948125,26.826272464767488,7375.0,116015
2073.0,신월동,940375,1948375,131.779295780718,7375.0,116015
1981.0,신월동,940375,1948625,125.93091410593458,7375.0,116015
517.0,신월동,940375,1948875,32.86536223764168,7375.0,116015
640.0,신월동,940375,1949125,40.68439425936301,7375.0,116015
132.0,,940375,1949375,,,0
,,940375,1949625,,,0
,,940375,1949875,,,0
,,940625,1945625,,,0
524.0,신정동,940625,1945875,29.002938676381298,9116.0,164700
544.0,신정동,940625,1946125,30.109921068609594,9116.0,164700
849.0,신정동,940625,1946375,46.991402550091074,9116.0,164700
347.0,신월동,940625,1946625,22.058570012498382,7375.0,116015
,신월동,940625,1946875,,7375.0,116015
439.0,신월동,940625,1947125,27.90695168728182,7375.0,116015
1117.0,신월동,940625,1947375,71.0069818557945,7375.0,116015
,,940625,1947625,,,0
,신월동,940625,1947875,,7375.0,116015
1232.0,신월동,940625,1948125,78.3174589492738,7375.0,116015
2109.0,신월동,940625,1948375,134.06779295780717,7375.0,116015
1290.0,신월동,940625,1948625,82.00448217902857,7375.0,116015
1511.0,신월동,940625,1948875,96.05331207171487,7375.0,116015
1054.0,신월동,940625,1949125,67.00211179588847,7375.0,116015
2043.0,신월동,940625,1949375,129.87221479981037,7375.0,116015
1488.0,신월동,940625,1949625,94.591216653019,7375.0,116015
,신월동,940625,1949875,,7375.0,116015
,,940625,1950125,,,0
,,940875,1945125,,,0
,,940875,1945375,,,0
,,940875,1945625,,,0
1456.0,신정동,940875,1945875,80.58831815421979,9116.0,164700
2654.0,신정동,940875,1946125,146.8965634486946,9116.0,164700
959.0,신정동,940875,1946375,53.079805707346694,9116.0,164700
1282.0,신정동,940875,1946625,70.95757134183364,9116.0,164700
615.0,신월동,940875,1946875,39.09516010860665,7375.0,116015
1919.0,신월동,940875,1947125,121.98961341205879,7375.0,116015
2007.0,신월동,940875,1947375,127.5837176227212,7375.0,116015
,신월동,940875,1947625,,7375.0,116015
112.0,신월동,940875,1947875,7.119768995388528,7375.0,116015
1597.0,신월동,940875,1948125,101.52027755031676,7375.0,116015
1474.0,신월동,940875,1948375,93.70124552859544,7375.0,116015
2064.0,신월동,940875,1948625,131.20717148644573,7375.0,116015
2168.0,신월동,940875,1948875,137.8183855535922,7375.0,116015
1402.0,신월동,940875,1949125,89.1242511744171,7375.0,116015
743.0,,940875,1949375,,,0
490.0,,940875,1949625,,,0
,,940875,1949875,,,0
,,940875,1950125,,,0
,신정동,941125,1945125,,9116.0,164700
928.0,신정동,941125,1945375,51.36398299939284,9116.0,164700
21.0,신정동,941125,1945625,1.1623315118397086,9116.0,164700
736.0,신정동,941125,1945875,40.73695203400121,9116.0,164700
975.0,신정동,941125,1946125,53.96539162112933,9116.0,164700
219.0,신정동,941125,1946375,12.121457194899818,9116.0,164700
1292.0,신월동,941125,1946625,82.13162091108909,7375.0,116015
1628.0,신월동,941125,1946875,103.49092789725466,7375.0,116015
