fid,left,bottom,동물병원개수,약국개수
"1",942818.2212,1945650.9498,0,1
"2",942818.2212,1945900.9498,0,0
"3",944068.2212,1945650.9498,0,0
"4",944068.2212,1945900.9498,0,0
"5",944068.2212,1946150.9498,0,0
"6",944068.2212,1946400.9498,0,0
"7",944068.2212,1945150.9498,0,0
"8",944068.2212,1945400.9498,0,0
"9",944318.2212,1949150.9498,0,0
"10",944318.2212,1949400.9498,1,1
"11",944318.2212,1949650.9498,0,0
"12",944318.2212,1949900.9498,1,0
"13",944318.2212,1948150.9498,0,0
"14",944318.2212,1948400.9498,0,0
"15",944318.2212,1948650.9498,1,1
"16",944318.2212,1948900.9498,0,0
"17",944068.2212,1949650.9498,0,0
"18",944068.2212,1949900.9498,1,0
"19",944068.2212,1950150.9498,1,2
"20",944068.2212,1948650.9498,0,2
"21",944068.2212,1948900.9498,0,1
"22",944068.2212,1949150.9498,0,0
"23",944068.2212,1949400.9498,0,0
"24",944068.2212,1947650.9498,0,0
"25",944068.2212,1947900.9498,0,0
"26",944068.2212,1948150.9498,1,0
"27",944068.2212,1948400.9498,1,0
"28",944068.2212,1946650.9498,0,0
"29",944068.2212,1946900.9498,0,1
"30",944068.2212,1947150.9498,0,0
"31",944068.2212,1947400.9498,0,2
"32",943818.2212,1948150.9498,1,3
"33",943818.2212,1948400.9498,0,0
"34",943818.2212,1948650.9498,0,0
"35",943818.2212,1948900.9498,1,0
"36",943818.2212,1947150.9498,0,0
"37",943818.2212,1947400.9498,1,0
"38",943818.2212,1947650.9498,0,1
"39",943818.2212,1947900.9498,1,0
"40",943818.2212,1946150.9498,0,0
"41",943818.2212,1946400.9498,0,0
"42",943818.2212,1946650.9498,1,1
"43",943818.2212,1946900.9498,0,0
"44",943818.2212,1945150.9498,0,0
"45",943818.2212,1945400.9498,1,0
"46",943818.2212,1945650.9498,0,0
"47",943818.2212,1945900.9498,0,0
"48",943568.2212,1946650.9498,0,0
"49",943568.2212,1946900.9498,0,0
"50",943568.2212,1947150.9498,0,0
"51",943568.2212,1947400.9498,0,0
"52",943568.2212,1945650.9498,0,0
"53",943568.2212,1945900.9498,0,0
"54",943568.2212,1946150.9498,0,0
"55",943568.2212,1946400.9498,0,2
"56",943818.2212,1950150.9498,0,2
"57",943568.2212,1945150.9498,0,0
"58",943568.2212,1945400.9498,0,0
"59",943818.2212,1949150.9498,0,0
"60",943818.2212,1949400.9498,0,0
"61",943818.2212,1949650.9498,0,0
"62",943818.2212,1949900.9498,0,5
"63",944818.2212,1946150.9498,0,0
"64",944818.2212,1946400.9498,0,0
"65",944818.2212,1946650.9498,0,0
"66",944818.2212,1946900.9498,0,0
"67",944818.2212,1945650.9498,0,0
"68",944818.2212,1945900.9498,0,0
"69",945068.2212,1949650.9498,0,0
"70",945068.2212,1949900.9498,0,0
"71",945068.2212,1948650.9498,1,1
"72",945068.2212,1948900.9498,0,0
"73",945068.2212,1949150.9498,0,0
"74",945068.2212,1949400.9498,0,0
"75",944568.2212,1944900.9498,0,0
"76",944568.2212,1945150.9498,0,0
"77",944568.2212,1945400.9498,0,0
"78",944818.2212,1949150.9498,0,0
"79",944818.2212,1949400.9498,0,0
"80",944818.2212,1949650.9498,1,0
"81",944818.2212,1949900.9498,0,0
"82",944818.2212,1948150.9498,0,0
"83",944818.2212,1948400.9498,0,0
"84",944818.2212,1948650.9498,1,0
"85",944818.2212,1948900.9498,0,0
"86",944818.2212,1947150.9498,0,2
"87",944818.2212,1947400.9498,0,0
"88",944818.2212,1947650.9498,0,1
"89",944818.2212,1947900.9498,1,1
"90",944568.2212,1948650.9498,0,1
"91",944568.2212,1948900.9498,0,0
"92",944568.2212,1949150.9498,0,0
"93",944568.2212,1949400.9498,0,0
"94",944568.2212,1947650.9498,0,0
"95",944568.2212,1947900.9498,1,0
"96",944568.2212,1948150.9498,0,0
"97",944568.2212,1948400.9498,1,0
"98",944568.2212,1946650.9498,0,1
"99",944568.2212,1946900.9498,1,0
"100",944568.2212,1947150.9498,0,2
"101",944568.2212,1947400.9498,0,1
"102",944568.2212,1945650.9498,0,0
"103",944568.2212,1945900.9498,0,0
"104",944568.2212,1946150.9498,0,0
"105",944568.2212,1946400.9498,0,0
"106",944318.2212,1947150.9498,0,0
"107",944318.2212,1947400.9498,1,1
"108",944318.2212,1947650.9498,0,1
"109",944318.2212,1947900.9498,0,0
"110",944318.2212,1946150.9498,0,0
"111",944318.2212,1946400.9498,1,1
"112",944318.2212,1946650.9498,1,1
"113",944318.2212,1946900.9498,0,0
"114",944318.2212,1945150.9498,0,0
"115",944318.2212,1945400.9498,0,0
"116",944318.2212,1945650.9498,0,0
"117",944318.2212,1945900.9498,0,0
"118",944568.2212,1949650.9498,0,0
"119",944568.2212,1949900.9498,0,0
"120",944318.2212,1944900.9498,0,0
"121",945568.2212,1949650.9498,0,0
"122",945568.2212,1948650.9498,0,2
"123",945568.2212,1948900.9498,0,0
"124",945568.2212,1949150.9498,0,0
"125",945568.2212,1949400.9498,0,0
"126",945568.2212,1947650.9498,0,0
"127",945568.2212,1947900.9498,0,0
"128",945568.2212,1948150.9498,0,0
"129",945568.2212,1948400.9498,0,0
"130",945318.2212,1949150.9498,0,0
"131",945318.2212,1949400.9498,0,0
"132",945318.2212,1949650.9498,0,0
"133",945318.2212,1949900.9498,0,0
"134",945318.2212,1948150.9498,0,0
"135",945318.2212,1948400.9498,0,0
"136",945318.2212,1948650.9498,0,0
"137",945318.2212,1948900.9498,0,0
"138",945318.2212,1947400.9498,0,0
"139",945318.2212,1947650.9498,0,0
"140",945318.2212,1947900.9498,0,0
"141",945068.2212,1947650.9498,0,0
"142",945068.2212,1947900.9498,0,0
"143",945068.2212,1948150.9498,0,0
"144",945068.2212,1948400.9498,0,0
"145",945068.2212,1946650.9498,0,0
"146",945068.2212,1946900.9498,0,0
"147",945068.2212,1947150.9498,0,0
"148",945068.2212,1947400.9498,0,0
"149",945068.2212,1946400.9498,0,0
"150",940568.2212,1948650.9498,1,0
"151",940568.2212,1948900.9498,0,1
"152",940568.2212,1949150.9498,0,0
"153",940568.2212,1949400.9498,0,0
"154",940568.2212,1947650.9498,0,0
"155",940568.2212,1947900.9498,0,0
"156",940568.2212,1948150.9498,0,0
"157",940568.2212,1948400.9498,0,2
"158",940568.2212,1946650.9498,0,0
"159",940568.2212,1946900.9498,0,0
"160",940568.2212,1947150.9498,0,0
"161",940568.2212,1947400.9498,0,0
"162",940568.2212,1945650.9498,0,0
"163",940568.2212,1945900.9498,0,0
"164",940568.2212,1946150.9498,0,0
"165",940568.2212,1946400.9498,0,0
"166",940318.2212,1947150.9498,0,0
"167",940318.2212,1947400.9498,0,0
"168",940318.2212,1947900.9498,0,0
"169",940318.2212,1946150.9498,0,0
"170",940318.2212,1946400.9498,0,0
"171",940318.2212,1946650.9498,0,0
"172",940318.2212,1946900.9498,0,0
"173",940318.2212,1945650.9498,0,0
"174",940318.2212,1945900.9498,0,0
"175",940568.2212,1949650.9498,0,0
"176",940568.2212,1949900.9498,0,0
"177",946068.2212,1947900.9498,0,0
"178",946068.2212,1948150.9498,0,0
"179",940068.2212,1945900.9498,0,0
"180",946068.2212,1948400.9498,0,0
"181",940068.2212,1946150.9498,0,0
"182",940068.2212,1946400.9498,0,0
"183",945818.2212,1948150.9498,0,0
"184",945818.2212,1948400.9498,0,0
"185",940318.2212,1949150.9498,0,0
"186",945818.2212,1948650.9498,0,0
"187",940318.2212,1949400.9498,0,0
"188",945818.2212,1948900.9498,0,0
