공원명,위도,경도,index,수요 지수,인프라 지수,접근성 지수,합산 지수,순위
꿈동산어린이공원,37.521958,126.867486,226,1.0,1.0,0.2686361440932012,8.537272288186402,1
하늘마루어린이공원,37.512645,126.83173,48,0.7213916825224245,0.9747859264,0.2150546084517936,6.708031164838134,2
모세미어린이공원,37.535258,126.868666,232,0.7894819043407213,0.7847210449,0.2001541698711807,6.706641855586689,3
안산어린이공원,37.524624,126.856207,168,0.8157107909758086,0.7590806385,0.0982166272117769,6.608859277278405,4
신세계어린이공원,37.521716,126.875912,287,0.7888013047023646,0.8602378608,0.0630745498743065,6.579432649562801,5
호돌이어린이공원,37.512595,126.861548,185,0.8426202772492526,0.6221699136,0.1347697208960218,6.5696009324875595,6
무궁화어린이공원,37.541779,126.864344,214,0.7047813213735868,0.7893079627,0.3491364809534867,6.505576815548494,7
진주어린이공원,37.526554,126.855049,169,0.6920358793150313,0.7830279957,0.2278305756116685,6.173932418513525,8
세양어린이공원,37.506788,126.864108,198,0.696656700190269,0.7885374958,0.0824667532584499,5.921948699258514,9
사슴어린이공원,37.515706,126.873442,266,0.6939385702636587,0.7092537531,0.1645573532229538,5.91125363422786,10
갈산공원,37.50836,126.869014,220,0.6806197336232672,0.8153558357,0.0,5.714430073139604,11
백석어린이공원,37.545207,126.865033,215,0.7192755387797277,0.6774836457,0.0012202907329426,5.673061105544251,12
은하수어린이공원,37.533422,126.878647,308,0.5279065745892775,0.7201765096,0.515082775799392,5.637958018334449,13
태양어린이공원,37.524402,126.838609,108,0.6887647423307902,0.6233424321,0.1257102542390092,5.6306938266627595,14
나말어린이공원,37.5386,126.864552,212,0.516809439387701,0.8130475669,0.4207592468810623,5.56847026388833,15
금실어린이공원,37.518107,126.837347,89,0.474987760984724,0.9713984248,0.3471877243343809,5.487098864177106,16
신월2동소공원,37.517649,126.848293,137,0.5977958140984215,0.8538902029,0.0879704234020328,5.470496137194594,17
당곡어린이공원,37.518623,126.839964,106,0.5419149010413952,0.9410634755,0.1462485772840495,5.42611351181647,18
장수공원,37.522468,126.847043,139,0.5691764066322371,0.6613899996,0.3384196440318335,5.41467772705709,19
정목어린이공원,37.536991,126.868362,233,0.5831657784501885,0.9389420232,0.0030878123683794,5.38305434183789,20
신월6동소공원1,37.517261,126.843217,117,0.5546938695311803,0.8828340178,0.1425285448253757,5.378888342437833,21
새뚝어린이공원,37.524125,126.857773,179,0.5974449578689862,0.7969571743,0.0880331156176905,5.354650327049298,22
신이어린이공원,37.512554,126.837592,87,0.6735525958140799,0.4823337067,0.1341754693307032,5.274333926945886,23
넘은들공원,37.513034,126.840467,103,0.6066865996194618,0.7201193301,0.0783732164726887,5.237104690862148,24
반곡어린이공원,37.529197,126.835516,94,0.4782366512787373,0.7571097794,0.421529213248013,5.22669789296845,25
앞산어린이공원,37.526441,126.858394,180,0.5042131013862462,0.9153103762,0.1787469856964619,5.213393332110401,26
오구어린이공원,37.527327,126.861956,191,0.4183201957053546,0.8863452671,0.4568222816964337,5.1962562718249945,27
꿈나래어린이공원,37.51636,126.869759,246,0.4933405816798041,0.9644968467,0.1304121704133359,5.149861524305496,28
파리공원,37.535016,126.877154,293,0.2343986721149301,0.8668156131,1.0,5.140023258889581,29
신정어린이공원,37.520501,126.874747,268,0.529491709703724,0.8626898582,0.1149713425935328,5.132272659809409,30
개나리어린이공원,37.517726,126.862761,187,0.4134275618374558,0.7574348777,0.5635120709004809,5.122459268225697,31
한두어린이공원,37.549183,126.865488,217,0.4155763896916877,0.9524413785,0.3425449684199001,5.083431031989926,32
독서공원,37.519757,126.83485,72,0.3526128932435616,0.9393194646,0.5410585448165458,5.076433378294461,33
까치어린이공원,37.515011,126.86832,223,0.5430823593367764,0.6968118763,0.2031307256314916,5.0583793598836415,34
은행정어린이공원,37.522057,126.855005,167,0.4819244359880402,0.8662650155,0.2057629157001616,5.035602478328564,35
아동어린이공원,37.523108,126.833341,74,0.4182404771826275,0.9767644443,0.2724153368117211,5.007802425319207,36
꽃사슴어린이공원,37.52177,126.848515,139,0.5691764066322371,0.708681128,0.0777427623603001,4.987906220514023,37
달마을근린공원,37.543498,126.868468,236,0.55485676007882,0.7506206571,0.0642506911596029,4.9588832569921255,38
무지개어린이공원,37.528857,126.867057,229,0.628007263550436,0.594890163,0.0,4.9578239073026165,39
홍익어린이공원,37.528578,126.862293,192,0.4128839358521338,0.9090030528,0.3266599971567756,4.948629715026354,40
꽃동산어린이공원,37.526455,126.848438,141,0.5473297181980838,0.8281743419,0.0005368572833785,4.9414007075552595,41
꿀벌어린이공원,37.520006,126.842062,118,0.4734716121808513,0.8634841209,0.1561548303469175,4.8801075755789425,42
신장어린이공원,37.52424,126.842793,120,0.4619921998086715,0.9986881487,0.0333204711275857,4.8359704385072,43
신대어린이공원,37.534811,126.832782,79,0.5196058543558383,0.6696030697,0.189005551351547,4.834852368238123,44
곰달래근린공원,37.524905,126.833211,74,0.4182404771826275,0.8608373366,0.2744117748342851,4.779941085964334,45
문화어린이공원,37.521225,126.842752,119,0.4522455289266319,0.8921926691,0.1385144770453776,4.774887465850546,46
신기어린이공원,37.514055,126.854326,154,0.4321826583310683,0.8316555093,0.2536880241091304,4.76378301680467,47
남도어린이공원,37.524419,126.840845,120,0.4619921998086715,0.9653616573,0.0,4.702676513452029,48
꽃사과어린이공원,37.520132,126.86468,204,0.5409078553954878,0.6312183475,0.0893955675720541,4.686674962517035,49
해태어린이공원,37.521708,126.861996,189,0.320739331340038,0.8046264088,0.569167615143967,4.672024035928162,50
신월6동소공원2,37.516725,126.844484,127,0.5408319376100574,0.6850729514,0.0,4.615137528460345,51
목동누리어린이공원,37.545949,126.865505,216,0.5482890678166628,0.6556101691,0.0,4.600954745099976,52
남부어린이공원,37.534781,126.826088,19,0.4290701114960047,0.7612845105,0.2260133843465484,4.549016458669125,53
단지어린이공원,37.519825,126.854312,156,0.270997553683066,0.7879768061,0.6493677357602579,4.500674405818912,54
