사업장명,지번주소
김약국,서울특별시 양천구 신월동 931-1번지 
대우실로암약국,서울특별시 양천구 신월동 18-4번지 
양천동물약국,서울특별시 양천구 신월동 110-1번지 은성상가 
목동세명약국,서울특별시 양천구 목동 610-14번지 
보룡동물약국,서울특별시 양천구 목동 613-5번지 
백십자약국,서울특별시 양천구 신월동 575-30번지 
수정약국,서울특별시 양천구 신정동 1031-1
은혜약국,서울특별시 양천구 신정동 908-15번지 1층 
우주약국,서울특별시 양천구 신정동 314번지 목동8단지상가 113호 
한솔약국,서울특별시 양천구 신정동 323-16번지 대영프라자 109호 
목동정문약국,서울특별시 양천구 목동 909-5번지 1층 105호 
신월시장약국,서울특별시 양천구 신월동 115-11번지 
우성메디칼약국,서울특별시 양천구 신월동 928-1번지 1층 101호
목동세계로약국,서울특별시 양천구 목동 933 
다민약국,서울특별시 양천구 신정동 1320
엄마손약국,서울특별시 양천구 신월동 991-1번지 
더블유열린약국,서울특별시 양천구 신정동 128-113
온누리조은약국,서울특별시 양천구 신월동 110-1번지 은성상가 
새서울온누리약국,서울특별시 양천구 목동 603-5번지 
목동즐거운약국,서울특별시 양천구 목동 810-1번지 타운빌딩 105호
이펜약국,서울특별시 양천구 신정동 1320-4 이펜하우스타워 105호
창대온누리약국,서울특별시 양천구 목동 611-4 
송약국,서울특별시 양천구 목동 406-21번지 
가까운온누리약국,서울특별시 양천구 신정동 321-6번지 센트럴프라자 
양천뿌리약국,서울특별시 양천구 신월동 961-5번지 남영상가 1층 
테마프라자약국,서울특별시 양천구 신정동 323-7번지 테마프라자 101호
팜빌편안약국,서울특별시 양천구 목동 749-6번지 1층 
메디칼으뜸약국,서울특별시 양천구 신정동 1320-4번지 이펜하우스타워 104호
삼주약국,서울특별시 양천구 신정동 118-20번지 
나눔약국,서울특별시 양천구 목동 753-7번지 
마트온누리약국,서울특별시 양천구 목동 962번지 목동트라팰리스 웨스턴에비뉴 지하101호
천지인약국,서울특별시 양천구 신정동 972-4번지 
41약국,서울특별시 양천구 목동 917-9 현대41타워 
더선약국,서울특별시 양천구 목동 514-18번지 어바니엘 
스마트약국,서울특별시 양천구 신정동 329-10 목동 블루스퀘어 
중앙제일약국,서울특별시 양천구 신정동 117-1 
올리브약국,서울특별시 양천구 목동 606-14 동향빌딩 1층 
오렌지라임약국,서울특별시 양천구 신정동 899-7 
행복약국,서울특별시 양천구 신월동 136-8 우영아파트 
태평양온누리약국,서울특별시 양천구 신정동 1028-2 
홍일태평양약국,서울특별시 양천구 신정동 898-11 1층 
믿음약국,서울특별시 양천구 목동 613-1 목동 RICH SQUARE 103호
팜코리아약국,서울특별시 양천구 목동 793-1 
목동동물약국,서울특별시 양천구 목동 408-174 동문빌딩 4층 2호
행복한온누리약국,서울특별시 양천구 신정동 282-2 메리트윈 상가동 105호
우리들약국,서울특별시 양천구 목동 546-4 성운빌딩 
가람약국,서울특별시 양천구 목동 602-1 1층 5호
보현약국,서울특별시 양천구 목동 736-16 아산들 
종로프라자약국,서울특별시 양천구 신정동 895-16 
자연약국,서울특별시 양천구 목동 404-156 대경프라자 104호
라온온누리약국,서울특별시 양천구 신월동 536-6 
조아약국,서울특별시 양천구 신정동 323-12 양지빌딩 ll 
365목동 동물약국,서울특별시 양천구 목동 792-4 목동 태영프라자 
코코약국,서울특별시 양천구 목동 792-4 목동 태영프라자 
우리동네맘약국,서울특별시 양천구 신월동 559-2
동인프라자약국,서울특별시 양천구 신월동 160-1 1층
한약국,서울특별시 양천구 신월동 427-10
분수광장약국,서울특별시 양천구 신월동 502-5 1호
봄봄약국,서울특별시 양천구 목동 406-425
일등약국,서울특별시 양천구 목동 610-22 102호
건강한우리약국,서울특별시 양천구 신월동 992-3 승원빌딩
바른약국,서울특별시 양천구 신정동 907-14 이스트만빌딩
신월우리약국,서울특별시 양천구 신월동 428-2 청송프라임
나나약국,서울특별시 양천구 신정동 323-6 101호
신월메디칼약국,서울특별시 양천구 신월동 52-10
서남고은약국,서울특별시 양천구 신정동 1320-1 서남 프라자2 106호
해든이화약국,서울특별시 양천구 목동 909-5 103호
정문약국,서울특별시 양천구 목동 736-21 102호
메디팜금빛약국,서울특별시 양천구 목동 907-17 광장상가
신정네거리중앙약국,서울특별시 양천구 신정동 1190-6
다올약국,서울특별시 양천구 신월동 166-1
목동행복한약국,서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점)
목동센트럴약국,서울특별시 양천구 신월동 575-1
신정튼튼약국,서울특별시 양천구 신정동 922-1 제이클래스목동주상복합
목동건강약국,서울특별시 양천구 신정동 896-9
신세계약국,서울특별시 양천구 신정동 1267 뉴프라자 107호
맑은약국,서울특별시 양천구 신월동 1063 신정뉴타운롯데캐슬 108호
우신동물병원,서울특별시 양천구 신월동 501-12
강현림 종합동물병원,서울특별시 양천구 목동 657-16 
해성동물병원,서울특별시 양천구 신정동 1020-17
노아동물병원,서울특별시 양천구 신정동 294-62번지 
양천종합동물병원,서울특별시 양천구 신월동 444-11
민병철동물병원,서울특별시 양천구 신월동 50-5번지 
필동물종합병원,서울특별시 양천구 목동 805-1 
혜인종합 동물병원,서울특별시 양천구 목동 613-8번지 혜인빌딩 
신정 동물병원,서울특별시 양천구 신정동 987-3 1층 
