정류장_ID,정류장_명칭,위도,경도
114000001,홍익병원목동관,37.53091,126.86403
114000002,금호어울림.대원칸타빌아파트,37.53269,126.866545
114000003,목동3단지후문,37.534324,126.86991
114000004,영도초등학교,37.535556,126.870519
114000005,신목중학교.목동2단지후문,37.538155,126.873548
114000006,목동2단지,37.5366,126.877988
114000007,목동3단지,37.534747,126.875742
114000008,목동4단지상가.목동종합운동장,37.532298,126.875115
114000009,목동3.4단지사잇길,37.532797,126.871977
114000011,목동사거리,37.53327,126.863836
114000012,영도중.강서고입구.기아양서대리점,37.536174,126.863622
114000013,목동시장.대일고교.배광교회,37.539005,126.863841
114000014,신목중학교,37.537122,126.8719
114000015,목동스카이아파트.목동3단지,37.534189,126.869706
114000016,금호어울림.대원칸타빌아파트,37.532875,126.866862
114000017,신목동역2번출구,37.543855,126.882342
114000018,신목동역1번출구,37.543922,126.882069
114000026,목동성원아파트,37.542295,126.863175
114000027,목3동주민센터.현대아이파크.실로암안과,37.544833,126.862401
114000028,등촌역6번출구.목동깨비시장,37.549695,126.863937
114000038,월촌초등학교,37.541188,126.87707
114000039,월촌초등학교.우성아파트,37.540498,126.87537
114000040,목원초등학교.서울지방식품의약품안전청,37.542533,126.881136
114000041,신목동역,37.545293,126.882574
114000042,신목동역,37.545944,126.881498
114000043,목동한신청구아파트,37.540638,126.880165
114000044,목동한신청구아파트,37.540729,126.880351
114000045,목동1.2단지사잇길,37.538388,126.878476
114000046,월촌중학교.목동1단지,37.537913,126.881672
114000047,목동YMCA.서울에너지공사,37.538842,126.88266
114000048,목동YMCA.서울에너지공사,37.539032,126.882858
114000049,목동5단지C상가.목동운동장북문,37.53295,126.877573
114000050,파리공원,37.534622,126.878326
114000051,목동5단지B상가.목5동주민센터,37.53576,126.881295
114000052,이대목동병원.목동6단지앞,37.536847,126.884428
114000053,목동아파트601동앞.이대병원,37.535893,126.883253
114000054,목동아파트5.6단지사잇길.경인초교,37.53287,126.88385
114000055,양정고등학교,37.535223,126.887902
114000056,목1동주민센터,37.529802,126.87358
114000057,목동역.홍익병원,37.527382,126.864433
114000058,CBS방송국,37.528097,126.874148
114000059,목운초등학교.목운중학교,37.526419,126.87377
114000060,목동7단지,37.52851,126.870233
114000061,목운초등학교.목운중학교,37.526127,126.873394
114000062,목동운동장남문.아이스링크,37.528474,126.876592
114000063,목동7단지.종로학원,37.525671,126.868759
114000064,목동대학학원,37.524957,126.873313
114000065,오목교역.동신한방병원,37.524447,126.876825
114000066,갈산초등학교정문,37.512805,126.870486
114000067,오목교역.청학스포츠타운,37.523427,126.875447
114000068,새마을금고,37.52107,126.873639
114000069,신정2동주민센터,37.518983,126.871424
114000070,오목교역.동신한방병원,37.524085,126.876922
114000071,신목초등학교입구,37.517471,126.870927
114000072,목동14단지상가,37.514711,126.871891
114000073,현대아파트정문,37.519785,126.877421
114000074,현대아파트정문,37.520788,126.878236
114000075,삼성아파트정문,37.51635,126.876904
114000076,삼성아파트후문,37.518115,126.87715
114000077,현대아파트후문,37.52193,126.878172
114000078,목동14단지C상가앞,37.514047,126.874176
114000079,목일중학교,37.51402,126.873928
114000080,목동13단지,37.514267,126.869395
114000081,목동14단지,37.514742,126.869582
114000082,신트리공원,37.514489,126.857917
114000083,목동12.13단지사잇길,37.513054,126.863545
114000084,목동12.13단지사잇길,37.513233,126.86327
114000085,신목초등학교입구,37.517302,126.870786
114000086,목동14단지관리사무소앞,37.515142,126.872213
114000087,목동11단지,37.51322,126.858309
114000088,목동14단지관리사무소앞,37.514796,126.871691
114000089,양천구청역,37.512567,126.865328
114000090,양천공원,37.517872,126.869642
114000091,양천구청,37.516543,126.86703
114000092,양천구민체육센터.양천일자리센터,37.515544,126.864239
114000093,목동12단지,37.514182,126.860328
114000094,갈산초등학교정문,37.512822,126.870105
114000095,갈산초등학교후문,37.51109,126.868713
114000096,갈산초등학교후문,37.511285,126.869212
114000097,은정초등학교,37.51033,126.866702
114000098,은정초등학교,37.510094,126.867106
114000099,목동우성아파트,37.507195,126.865711
114000100,목동우성아파트입구,37.508448,126.864212
114000101,양천아파트,37.508174,126.863349
114000102,봉영여중.목동고,37.507281,126.861841
114000103,봉영여중.목동고,37.507391,126.861427
114000104,봉영여중.목동고,37.508692,126.861867
114000105,양천노인종합복지관,37.510288,126.85918
