xcoord,ycoord,법정동,격자별 인구수,동별 반려동물수,동별 인구수,반려동물수
940125,1945875,,0,0,0,0.0
940125,1946375,,0,0,0,0.0
940125,1946625,,0,0,0,0.0
940125,1948375,,0,0,0,0.0
940125,1948625,신월동,164,7375,116015,10.425376028961772
940125,1948875,,0,0,0,0.0
940125,1949125,신월동,0,7375,116015,0.0
940125,1949375,,0,0,0,0.0
940375,1945625,,0,0,0,0.0
940375,1945875,,0,0,0,0.0
940375,1946125,신월동,0,7375,116015,0.0
940375,1946375,신정동,642,9116,164700,35.534134790528235
940375,1946625,신월동,0,7375,116015,0.0
940375,1946875,신월동,0,7375,116015,0.0
940375,1947125,,521,0,0,0.0
940375,1947375,,74,0,0,0.0
940375,1947625,,0,0,0,0.0
940375,1948125,신월동,422,7375,116015,26.826272464767488
940375,1948375,신월동,2073,7375,116015,131.779295780718
940375,1948625,신월동,1981,7375,116015,125.93091410593458
940375,1948875,신월동,517,7375,116015,32.86536223764168
940375,1949125,신월동,640,7375,116015,40.68439425936301
940375,1949375,,132,0,0,0.0
940375,1949625,,0,0,0,0.0
940375,1949875,,0,0,0,0.0
940625,1945625,,0,0,0,0.0
940625,1945875,신정동,524,9116,164700,29.002938676381298
940625,1946125,신정동,544,9116,164700,30.109921068609594
940625,1946375,신정동,849,9116,164700,46.991402550091074
940625,1946625,신월동,347,7375,116015,22.058570012498382
940625,1946875,신월동,0,7375,116015,0.0
940625,1947125,신월동,439,7375,116015,27.90695168728182
940625,1947375,신월동,1117,7375,116015,71.0069818557945
940625,1947625,,0,0,0,0.0
940625,1947875,신월동,0,7375,116015,0.0
940625,1948125,신월동,1232,7375,116015,78.3174589492738
940625,1948375,신월동,2109,7375,116015,134.06779295780717
940625,1948625,신월동,1290,7375,116015,82.00448217902857
940625,1948875,신월동,1511,7375,116015,96.05331207171487
940625,1949125,신월동,1054,7375,116015,67.00211179588847
940625,1949375,신월동,2043,7375,116015,129.87221479981037
940625,1949625,신월동,1488,7375,116015,94.591216653019
940625,1949875,신월동,0,7375,116015,0.0
940625,1950125,,0,0,0,0.0
940875,1945125,,0,0,0,0.0
940875,1945375,,0,0,0,0.0
940875,1945625,,0,0,0,0.0
940875,1945875,신정동,1456,9116,164700,80.58831815421979
940875,1946125,신정동,2654,9116,164700,146.8965634486946
940875,1946375,신정동,959,9116,164700,53.079805707346694
940875,1946625,신정동,1282,9116,164700,70.95757134183364
940875,1946875,신월동,615,7375,116015,39.09516010860665
940875,1947125,신월동,1919,7375,116015,121.98961341205879
940875,1947375,신월동,2007,7375,116015,127.5837176227212
940875,1947625,신월동,0,7375,116015,0.0
940875,1947875,신월동,112,7375,116015,7.119768995388528
940875,1948125,신월동,1597,7375,116015,101.52027755031676
940875,1948375,신월동,1474,7375,116015,93.70124552859544
940875,1948625,신월동,2064,7375,116015,131.20717148644573
940875,1948875,신월동,2168,7375,116015,137.8183855535922
940875,1949125,신월동,1402,7375,116015,89.1242511744171
940875,1949375,,743,0,0,0.0
940875,1949625,,490,0,0,0.0
940875,1949875,,0,0,0,0.0
940875,1950125,,0,0,0,0.0
941125,1945125,신정동,0,9116,164700,0.0
941125,1945375,신정동,928,9116,164700,51.36398299939284
941125,1945625,신정동,21,9116,164700,1.1623315118397086
941125,1945875,신정동,736,9116,164700,40.73695203400121
941125,1946125,신정동,975,9116,164700,53.96539162112933
941125,1946375,신정동,219,9116,164700,12.121457194899818
941125,1946625,신월동,1292,7375,116015,82.13162091108909
941125,1946875,신월동,1628,7375,116015,103.49092789725466
941125,1947125,신월동,1673,7375,116015,106.35154936861613
941125,1947375,신월동,1931,7375,116015,122.75244580442184
941125,1947625,신월동,1074,7375,116015,68.27349911649355
941125,1947875,신월동,2094,7375,116015,133.11425246735337
941125,1948125,신월동,2010,7375,116015,127.77442572081196
941125,1948375,신월동,2671,7375,116015,169.79377666681032
941125,1948625,신월동,2399,7375,116015,152.50290910658106
941125,1948875,신월동,1722,7375,116015,109.4664483040986
941125,1949125,신월동,939,7375,116015,59.69163470240917
941125,1949375,,558,0,0,0.0
941375,1945125,신정동,0,9116,164700,0.0
941375,1945375,신정동,401,9116,164700,22.194996964177292
941375,1945625,신정동,0,9116,164700,0.0
941375,1945875,신정동,459,9116,164700,25.405245901639343
941375,1946125,신정동,2478,9116,164700,137.1551183970856
941375,1946375,신월동,604,7375,116015,38.39589708227384
941375,1946625,신월동,2193,7375,116015,139.40761970434858
941375,1946875,신월동,1249,7375,116015,79.39813817178813
941375,1947125,신월동,839,7375,116015,53.3346980993837
941375,1947375,신월동,2160,7375,116015,137.30983062535017
941375,1947625,신월동,837,7375,116015,53.20755936732319
941375,1947875,신월동,2208,7375,116015,140.3611601948024
941375,1948125,신월동,1824,7375,116015,115.95052363918458
941375,1948375,신월동,983,7375,116015,62.48868680774038
941375,1948625,,115,0,0,0.0
941375,1948875,,32,0,0,0.0
941625,1945125,,0,0,0,0.0
941625,1945375,신정동,0,9116,164700,0.0
941625,1945625,신정동,328,9116,164700,18.15451123254402
941625,1945875,신정동,1187,9116,164700,65.69940497874924
941625,1946125,신정동,2232,9116,164700,123.53923497267759
941625,1946375,신월동,926,7375,116015,58.86523294401586
941625,1946625,신월동,2067,7375,116015,131.39787958453647
941625,1946875,신월동,2502,7375,116015,159.05055380769727
941625,1947125,신월동,2152,7375,116015,136.80127569710814
941625,1947375,신월동,3180,7375,116015,202.15058397621
941625,1947625,신월동,1767,7375,116015,112.32706977546007
941625,1947875,신월동,956,7375,116015,60.7723139249235
941625,1948125,,0,0,0,0.0
941875,1945375,신정동,76,9116,164700,4.2065330904675164
941875,1945625,신정동,1739,9116,164700,96.25211900425015
941875,1945875,신정동,1019,9116,164700,56.400752884031576
941875,1946125,신정동,2651,9116,164700,146.73051608986034
941875,1946375,신월동,3569,7375,116015,226.87906736197905
941875,1946625,신월동,2561,7375,116015,162.8011464034823
941875,1946875,신월동,2186,7375,116015,138.9626341421368
941875,1947125,신월동,2088,7375,116015,132.73283627117183
941875,1947375,신월동,2133,7375,116015,135.5934577425333
941875,1947625,신월동,1283,7375,116015,81.55949661681679
942125,1945375,,59,0,0,0.0
942125,1945625,신정동,1824,9116,164700,100.9567941712204
942125,1945875,신정동,618,9116,164700,34.20575591985428
942125,1946125,신정동,161,9116,164700,8.911208257437766
942125,1946375,신월동,228,7375,116015,14.493815454898073
942125,1946625,신월동,2497,7375,116015,158.732706977546
942125,1946875,신월동,2626,7375,116015,166.93315519544888
942125,1947125,신월동,2045,7375,116015,129.99935353187087
942125,1947375,신월동,3061,7375,116015,194.58582941860965
942125,1947625,신월동,2336,7375,116015,148.498039046675
942125,1947875,,0,0,0,0.0
942375,1945625,,0,0,0,0.0
942375,1945875,신정동,125,9116,164700,6.918639951426837
942375,1946125,신정동,170,9116,164700,9.409350333940498
942375,1946375,신정동,216,9116,164700,11.955409836065574
942375,1946625,신월동,2760,7375,116015,175.451450243503
942375,1946875,신월동,3273,7375,116015,208.06253501702366
942375,1947125,신정동,2094,9116,164700,115.90105646630236
942375,1947375,신월동,1900,7375,116015,120.78179545748395
942375,1947625,신월동,2527,7375,116015,160.63978795845364
942375,1947875,,47,0,0,0.0
942625,1945875,신정동,1680,9116,164700,92.98652094717669
942625,1946125,신정동,928,9116,164700,51.36398299939284
942625,1946375,신정동,617,9116,164700,34.15040680024286
942625,1946625,신정동,1420,9116,164700,78.59574984820887
942625,1946875,신정동,1341,9116,164700,74.2231693989071
942625,1947125,신정동,1732,9116,164700,95.86467516697024
942625,1947375,신월동,1277,7375,116015,81.17808042063527
942625,1947625,신정동,1751,9116,164700,96.91630843958713
942625,1947875,,515,0,0,0.0
942875,1945875,신정동,431,9116,164700,23.855470552519733
942875,1946125,신정동,3752,9116,164700,207.66989678202793
942875,1946375,신정동,1590,9116,164700,88.00510018214936
942875,1946625,신정동,702,9116,164700,38.85508196721312
942875,1946875,신정동,997,9116,164700,55.18307225258045
942875,1947125,신정동,1327,9116,164700,73.4482817243473
942875,1947375,신정동,2592,9116,164700,143.4649180327869
942875,1947625,신정동,3383,9116,164700,187.2460716454159
942875,1947875,신정동,794,9116,164700,43.94720097146327
943125,1945625,,0,0,0,0.0
943125,1945875,신정동,0,9116,164700,0.0
943125,1946125,신정동,1435,9116,164700,79.42598664238008
943125,1946375,신정동,0,9116,164700,0.0
943125,1946625,신정동,2174,9116,164700,120.32898603521555
943125,1946875,신정동,2862,9116,164700,158.40918032786885
943125,1947125,신정동,1773,9116,164700,98.13398907103826
943125,1947375,신정동,3001,9116,164700,166.1027079538555
943125,1947625,신정동,2546,9116,164700,140.91885853066182
943125,1947875,신정동,1104,9116,164700,61.10542805100182
943375,1945375,,0,0,0,0.0
943375,1945625,,705,0,0,0.0
943375,1945875,신정동,1150,9116,164700,63.6514875531269
943375,1946125,신정동,1961,9116,164700,108.53962355798421
943375,1946375,신정동,2329,9116,164700,128.90809957498482
943375,1946625,신정동,1659,9116,164700,91.82418943533698
943375,1946875,신정동,2080,9116,164700,115.12616879174256
943375,1947125,신정동,1764,9116,164700,97.63584699453551
943375,1947375,신정동,2198,9116,164700,121.6573649058895
943375,1947625,신정동,1855,9116,164700,102.67261687917426
943375,1947875,신정동,1743,9116,164700,96.47351548269582
943625,1945375,,583,0,0,0.0
943625,1945625,신정동,2069,9116,164700,114.517328476017
943625,1945875,신정동,2866,9116,164700,158.6305768063145
943625,1946125,신정동,3100,9116,164700,171.58227079538554
