공원명,위도,경도,index,수요 지수
무지개어린이공원,37.528857,126.867057,229,0.628007263550436
목동누리어린이공원,37.545949,126.865505,216,0.5482890678166628
무궁화어린이공원,37.541779,126.864344,214,0.7047813213735868
백석어린이공원,37.545207,126.865033,215,0.7192755387797277
한두어린이공원,37.549183,126.865488,217,0.41557638969168775
나말어린이공원,37.5386,126.864552,212,0.516809439387701
마장어린이공원,37.533518,126.864716,210,0.3691495995626436
모세미어린이공원,37.535258,126.868666,232,0.7894819043407213
정목어린이공원,37.536991,126.868362,233,0.5831657784501885
달님어린이공원,37.535159,126.885538,331,0.44320599162214325
별님어린이공원,37.537803,126.875239,294,0.4538501825297777
영도어린이공원,37.535077,126.872954,275,0.41557638969168775
은하수어린이공원,37.533422,126.878647,308,0.5279065745892775
장미어린이공원,37.534454,126.882792,320,0.4447912966509398
진달래어린이공원,37.531899,126.870112,252,0.1965778235707819
햇님어린이공원,37.539972,126.879436,311,0.4556619597055454
곰달래어린이공원,37.528759,126.837899,110,0.2070626080717721
돌다리어린이공원,37.532034,126.835777,96,0.2129106106009957
반곡어린이공원,37.529197,126.835516,94,0.4782366512787373
신대어린이공원,37.534811,126.832782,79,0.5196058543558383
신월어린이공원,37.527035,126.838188,109,0.3827192766347503
꽃동산어린이공원,37.526455,126.848438,141,0.5473297181980838
신곡어린이공원,37.526273,126.845105,131,0.505960515120983
신장어린이공원,37.52424,126.842793,120,0.4619921998086715
남도어린이공원,37.524419,126.840845,120,0.4619921998086715
경인어린이공원,37.532109,126.828852,36,0.45679397533825034
남부어린이공원,37.534781,126.826088,19,0.42907011149600477
꿀벌어린이공원,37.520006,126.842062,118,0.4734716121808513
당곡어린이공원,37.518623,126.839964,106,0.5419149010413952
문화어린이공원,37.521225,126.842752,119,0.45224552892663195
태양어린이공원,37.524402,126.838609,108,0.6887647423307902
당뒤어린이공원,37.541479,126.828569,40,0.44249885804459244
방아다리어린이공원,37.538693,126.828358,39,0.22828869132599144
송죽어린이공원,37.539429,126.833885,81,0.2033805324052238
신오어린이공원,37.53822,126.831558,59,0.4695729438280355
강신어린이공원,37.515553,126.838449,104,0.20056482748374574
강월어린이공원,37.515557,126.836291,88,0.1308219825055966
온수도시자연공원,37.514628,126.836199,88,0.1308219825055966
금실어린이공원,37.518107,126.837347,89,0.47498776098472406
아동어린이공원,37.523108,126.833341,74,0.4182404771826275
곰달래근린공원,37.524905,126.833211,74,0.4182404771826275
개나리어린이공원,37.517726,126.862761,187,0.4134275618374558
꽃사과어린이공원,37.520132,126.86468,204,0.5409078553954878
꿈나무어린이공원,37.517693,126.858437,176,0.4509377548246805
단지어린이공원,37.519825,126.854312,156,0.27099755368306605
양명어린이공원,37.519266,126.854492,156,0.27099755368306605
해태어린이공원,37.521708,126.861996,189,0.320739331340038
신세계어린이공원,37.521716,126.875912,287,0.7888013047023646
신정어린이공원,37.520501,126.874747,268,0.529491709703724
꽃사슴어린이공원,37.52177,126.848515,139,0.5691764066322371
장수공원,37.522468,126.847043,139,0.5691764066322371
넓은들어린이공원,37.511144,126.839205,102,0.3226420222886654
숲속어린이공원,37.514682,126.830002,49,0.26066865996194605
신기어린이공원,37.514055,126.854326,154,0.4321826583310683
신이어린이공원,37.512554,126.837592,87,0.6735525958140799
푸른어린이공원,37.511281,126.837884,86,0.1247621636314215
하늘마루어린이공원,37.512645,126.83173,48,0.7213916825224245
학마을어린이공원,37.509022,126.84361,113,0.4726827942375646
동개울어린이공원,37.527975,126.856515,170,0.30008154389779834
새뚝어린이공원,37.524125,126.857773,179,0.5974449578689862
안산어린이공원,37.524624,126.856207,168,0.8157107909758086
앞산어린이공원,37.526441,126.858394,180,0.5042131013862462
오구어린이공원,37.527327,126.861956,191,0.4183201957053546
은행정어린이공원,37.522057,126.855005,167,0.4819244359880402
