공원명,공원구분,위도,경도,공원면적,좌표
무지개어린이공원,어린이공원,37.528857,126.867057,2241.63,POINT(126.867057 37.528857)
목동누리어린이공원,어린이공원,37.545949,126.865505,2374.05,POINT(126.865505 37.545949)
무궁화어린이공원,어린이공원,37.541779,126.864344,1056.66,POINT(126.864344 37.541779)
백석어린이공원,어린이공원,37.545207,126.865033,670.03,POINT(126.865033 37.545207)
한두어린이공원,어린이공원,37.549183,126.865488,880.79,POINT(126.865488 37.549183)
나말어린이공원,어린이공원,37.5386,126.864552,1024.06,POINT(126.864552 37.538600)
마장어린이공원,어린이공원,37.533518,126.864716,794.48,POINT(126.864716 37.533518)
모세미어린이공원,어린이공원,37.535258,126.868666,946.9,POINT(126.868666 37.535258)
정목어린이공원,어린이공원,37.536991,126.868362,1019.9,POINT(126.868362 37.536991)
달님어린이공원,어린이공원,37.535159,126.885538,4776.62,POINT(126.885538 37.535159)
별님어린이공원,어린이공원,37.537803,126.875239,3977.96,POINT(126.875239 37.537803)
영도어린이공원,어린이공원,37.535077,126.872954,2819.47,POINT(126.872954 37.535077)
은하수어린이공원,어린이공원,37.533422,126.878647,4014.17,POINT(126.878647 37.533422)
장미어린이공원,어린이공원,37.534454,126.882792,4276.37,POINT(126.882792 37.534454)
진달래어린이공원,어린이공원,37.531899,126.870112,6857.16,POINT(126.870112 37.531899)
햇님어린이공원,어린이공원,37.539972,126.879436,2054.51,POINT(126.879436 37.539972)
곰달래어린이공원,어린이공원,37.528759,126.837899,564.74,POINT(126.837899 37.528759)
돌다리어린이공원,어린이공원,37.532034,126.835777,872.79,POINT(126.835777 37.532034)
반곡어린이공원,어린이공원,37.529197,126.835516,1044.51,POINT(126.835516 37.529197)
신대어린이공원,어린이공원,37.534811,126.832782,922.06,POINT(126.832782 37.534811)
신월어린이공원,어린이공원,37.527035,126.838188,1094.86,POINT(126.838188 37.527035)
꽃동산어린이공원,어린이공원,37.526455,126.848438,857.54,POINT(126.848438 37.526455)
신곡어린이공원,어린이공원,37.526273,126.845105,901.83,POINT(126.845105 37.526273)
신장어린이공원,어린이공원,37.52424,126.842793,870.07,POINT(126.842793 37.524240)
경인어린이공원,어린이공원,37.532109,126.828852,1006.06,POINT(126.828852 37.532109)
남부어린이공원,어린이공원,37.534781,126.826088,870.6,POINT(126.826088 37.534781)
꿀벌어린이공원,어린이공원,37.520006,126.842062,890.22,POINT(126.842062 37.520006)
남도어린이공원,어린이공원,37.524419,126.840845,975.8,POINT(126.840845 37.524419)
당곡어린이공원,어린이공원,37.518623,126.839964,1010.44,POINT(126.839964 37.518623)
문화어린이공원,어린이공원,37.521225,126.842752,954.77,POINT(126.842752 37.521225)
태양어린이공원,어린이공원,37.524402,126.838609,989.61,POINT(126.838609 37.524402)
당뒤어린이공원,어린이공원,37.541479,126.828569,1029.99,POINT(126.828569 37.541479)
방아다리어린이공원,어린이공원,37.538693,126.828358,853.67,POINT(126.828358 37.538693)
송죽어린이공원,어린이공원,37.539429,126.833885,411.74,POINT(126.833885 37.539429)
신오어린이공원,어린이공원,37.53822,126.831558,936.35,POINT(126.831558 37.538220)
강신어린이공원,어린이공원,37.515553,126.838449,1505.51,POINT(126.838449 37.515553)
강월어린이공원,어린이공원,37.515557,126.836291,3256.56,POINT(126.836291 37.515557)
금실어린이공원,어린이공원,37.518107,126.837347,3476.54,POINT(126.837347 37.518107)
