공원명,위도,경도,중심점인덱스,중심점위도,중심점경도
무지개어린이공원,37.528857,126.867057,229,37.5284907036052,126.867621879057
목동누리어린이공원,37.545949,126.865505,216,37.5465016273671,126.864639674004
무궁화어린이공원,37.541779,126.864344,214,37.5419951056709,126.864677919687
백석어린이공원,37.545207,126.865033,215,37.5442483669542,126.86465879791
한두어린이공원,37.549183,126.865488,217,37.5487548869098,126.864620547967
나말어린이공원,37.5386,126.864552,212,37.5374885804935,126.864716156852
마장어린이공원,37.533518,126.864716,210,37.532982051835,126.864754385502
모세미어린이공원,37.535258,126.868666,232,37.5352505041942,126.867564800986
정목어린이공원,37.536991,126.868362,233,37.5375037693169,126.867545770724
달님어린이공원,37.535159,126.885538,331,37.5353402061656,126.884542017622
별님어린이공원,37.537803,126.875239,294,37.537548929013,126.87603462502
영도어린이공원,37.535077,126.872954,275,37.5352806760134,126.873223864823
은하수어린이공원,37.533422,126.878647,308,37.5330573058189,126.878901624726
장미어린이공원,37.534454,126.882792,320,37.5353254253137,126.881712476305
진달래어린이공원,37.531899,126.870112,252,37.530759088697,126.870432215788
햇님어린이공원,37.539972,126.879436,311,37.5398171157654,126.878845555484
곰달래어린이공원,37.528759,126.837899,110,37.5283358147221,126.83932924177
돌다리어린이공원,37.532034,126.835777,96,37.5328264600531,126.836460067865
반곡어린이공원,37.529197,126.835516,94,37.5283199530849,126.836499990058
신대어린이공원,37.534811,126.832782,79,37.5350637789554,126.833610598626
신월어린이공원,37.527035,126.838188,109,37.5260825586485,126.839349114445
꽃동산어린이공원,37.526455,126.848438,141,37.5261297331108,126.847836627561
신곡어린이공원,37.526273,126.845105,131,37.5261140760569,126.845007454325
신장어린이공원,37.52424,126.842793,120,37.523845093014,126.842198068667
경인어린이공원,37.532109,126.828852,36,37.5327784607456,126.827971815494
남부어린이공원,37.534781,126.826088,19,37.535015572401,126.825122097635
꿀벌어린이공원,37.520006,126.842062,118,37.5193385739578,126.842237632825
남도어린이공원,37.524419,126.840845,120,37.523845093014,126.842198068667
당곡어린이공원,37.518623,126.839964,106,37.5193227852027,126.839408719193
