사업장명,Latitude,Longitude
김약국,37.5221944,126.8333196
대우실로암약국,37.5416523,126.8310589
양천동물약국,37.5324038,126.8335047
목동세명약국,37.5484491,126.8666261
보룡동물약국,37.5488528,126.8640457
백십자약국,37.5185698,126.8429284
수정약국,37.5208444,126.8528939
은혜약국,37.5256323,126.8588634
우주약국,37.5216265,126.8676568
한솔약국,37.5153085,126.862318
목동정문약국,37.5374034,126.8848773
신월시장약국,37.531766,126.8366797
우성메디칼약국,37.522662,126.833615
목동세계로약국,37.5228344,126.8765996
다민약국,37.5127504,126.8322558
엄마손약국,37.5191509,126.8368289
더블유열린약국,37.5186553,126.8740241
온누리조은약국,37.5324038,126.8335047
새서울온누리약국,37.549204,126.8673931
목동즐거운약국,37.5273832,126.864447
이펜약국,37.5125959,126.8327488
창대온누리약국,37.5485847,126.8651627
송약국,37.5251528,126.8737199
가까운온누리약국,37.5173721,126.8652319
양천뿌리약국,37.5222577,126.8338173
테마프라자약국,37.5158046,126.8611952
팜빌편안약국,37.5396897,126.8690447
메디칼으뜸약국,37.5125959,126.8327488
삼주약국,37.5223103,126.8747802
나눔약국,37.5376376,126.8721839
마트온누리약국,37.5255521,126.8712819
천지인약국,37.5215815,126.8526466
41약국,37.5281164,126.8758458
더선약국,37.5466178,126.8748256
스마트약국,37.5189636,126.8705235
중앙제일약국,37.5221833,126.8745832
올리브약국,37.5500924,126.8641993
오렌지라임약국,37.5283255,126.8637786
행복약국,37.532068,126.8315895
태평양온누리약국,37.5212205,126.8559194
홍일태평양약국,37.5290354,126.8635741
믿음약국,37.5497323,126.8641668
팜코리아약국,37.5322758,126.8641184
목동동물약국,37.5246051,126.8692404
행복한온누리약국,37.5168774,126.8715134
우리들약국,37.5438807,126.8706863
가람약국,37.5490753,126.8678602
보현약국,37.5367224,126.867642
종로프라자약국,37.5284603,126.8632612
자연약국,37.5235882,126.8758373
라온온누리약국,37.5191847,126.843014
조아약국,37.5157831,126.8628358
365목동 동물약국,37.5328245,126.8641617
코코약국,37.5328245,126.8641617
우리동네맘약국,37.5152106,126.8406704
동인프라자약국,37.5347812,126.8280074
한약국,37.5245966,126.8414153
분수광장약국,37.522174,126.8516397
봄봄약국,37.5258672,126.8687852
일등약국,37.5484687,126.8661622
건강한우리약국,37.51865,126.8374764
바른약국,37.525622,126.8594742
신월우리약국,37.5241233,126.8415917
나나약국,37.5159125,126.8615064
신월메디칼약국,37.5376161,126.827499
서남고은약국,37.512788,126.8325364
해든이화약국,37.5374034,126.8848773
정문약국,37.5365648,126.8674758
메디팜금빛약국,37.5356048,126.8787598
신정네거리중앙약국,37.5204764,126.8524636
다올약국,37.534899,126.8281949
목동행복한약국,37.5291473,126.8760986
목동센트럴약국,37.5181497,126.8425159
신정튼튼약국,37.5250363,126.853626
목동건강약국,37.5286555,126.8632523
