사업장명,지번주소,도로명주소
우신동물병원,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동)
강현림 종합동물병원,서울특별시 양천구 목동 657-16 ,서울특별시 양천구 등촌로 160 (목동)
해성동물병원,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동)
노아동물병원,서울특별시 양천구 신정동 294-62번지 ,서울특별시 양천구 목동동로10길 6 (신정동)
양천종합동물병원,서울특별시 양천구 신월동 444-11,서울특별시 양천구 오목로 45 (신월동)
민병철동물병원,서울특별시 양천구 신월동 50-5번지 ,서울특별시 양천구 남부순환로 347 (신월동)
필동물종합병원,서울특별시 양천구 목동 805-1 ,서울특별시 양천구 등촌로 16 (목동)
혜인종합 동물병원,서울특별시 양천구 목동 613-8번지 혜인빌딩 ,"서울특별시 양천구 등촌로 218, 혜인빌딩 (목동)"
신정 동물병원,서울특별시 양천구 신정동 987-3 1층 ,"서울특별시 양천구 오목로 198-1 (신정동,1층)"
토론토 동물병원,서울특별시 양천구 목동 657-21번지 등촌빌딩 ,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)"
리즈동물병원,서울특별시 양천구 목동 773-3 106호 ,"서울특별시 양천구 목동중앙로 43 (목동,106호)"
참사랑동물병원,서울특별시 양천구 신정동 337-7 ,서울특별시 양천구 목동남로4길 6-11 (신정동)
파란종합 동물병원,서울특별시 양천구 신월동 546-25 ,서울특별시 양천구 신월로 149 (신월동)
일오삼동물병원,서울특별시 양천구 신월동 972-6 ,서울특별시 양천구 지양로 52 (신월동)
행복한동물병원,서울특별시 양천구 목동 515-1 ,서울특별시 양천구 공항대로 636 (목동)
미니주동물병원,서울특별시 양천구 목동 601-6 ,서울특별시 양천구 목동중앙북로 37 (목동)
리더스 동물병원,서울특별시 양천구 신정동 117-37 ,서울특별시 양천구 신목로 78 (신정동)
햇살동물병원,서울특별시 양천구 신월동 446-4번지 ,서울특별시 양천구 월정로 46 (신월동)
쿨펫이마트 목동점 동물병원,서울특별시 양천구 목동 962 목동트라팰리스 ,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)"
가나종합동물병원,서울특별시 양천구 목동 907번지 현대월드타워 160호,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)"
닥터펫동물병원,서울특별시 양천구 목동 919-7 홈플러스목동점 ,"서울특별시 양천구 목동서로 170, 홈플러스목동점 (목동)"
상아동물병원,서울특별시 양천구 신정동 995-4번지 ,서울특별시 양천구 목동로 181 (신정동)
목동 동물병원,서울특별시 양천구 목동 907-10번지 ,서울특별시 양천구 목동서로 57 (목동)
오라고동물병원,서울특별시 양천구 목동 603-2번지 대우마이빌 102호 ,"서울특별시 양천구 공항대로 552 (목동, 대우마이빌 102호)"
팜랜드동물병원,서울특별시 양천구 목동 799-1번지 1층 ,"서울특별시 양천구 목동중앙서로 42, 1층 (목동)"
대현동물병원,서울특별시 양천구 목동 531-13 101호,"서울특별시 양천구 목동중앙본로 100, 101호 (목동)"
서서울호수동물병원,서울특별시 양천구 신월동 130-5번지 1층 ,"서울특별시 양천구 남부순환로 421, 1층 (신월동)"
파리스동물병원,"서울특별시 양천구 목동 903 목동신시가지아파트3단지 상가동 105호, 204호","서울특별시 양천구 목동서로 100, 상가동 105, 204호 (목동, 목동신시가지아파트3단지)"
구름동물병원,서울특별시 양천구 신정동 1320-2번지 신정프라자 203호,"서울특별시 양천구 신정이펜2로 22, 203호 (신정동, 신정프라자)"
밀리언동물병원,서울특별시 양천구 신정동 1028-4번지 ,서울특별시 양천구 신월로 320 (신정동)
다온동물병원,서울특별시 양천구 신정동 1052-3 ,서울특별시 양천구 중앙로 230 (신정동)
페토브 동물병원,"서울특별시 양천구 신정동 329 목동신시가지아파트14단지 B상가 117,호","서울특별시 양천구 목동동로 130, 117, 118호 (신정동, 목동신시가지아파트14단지)"
24시 서울 탑 동물병원,서울특별시 양천구 신정동 1182-11 ,"서울특별시 양천구 중앙로 237, 1층 (신정동)"
두암동물병원,서울특별시 양천구 목동 507-2 덕수프라자,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 2층 (목동)"
하니동물병원,서울특별시 양천구 목동 783-2,서울특별시 양천구 등촌로 58 (목동)
가온동물병원,서울특별시 양천구 목동 721-1번지 목동한강팰리스 ,"서울특별시 양천구 등촌로 114, 목동한강팰리스 1층 (목동)"
우리들동물메디컬센터,서울특별시 양천구 신정동 982-4 M1~2층,서울특별시 양천구 신월로 355(신정동)
해맞이 동물병원,서울특별시 양천구 신월동 984-1번지 인산빌딩 ,"서울특별시 양천구 지양로 7, 인산빌딩 1층 (신월동)"
봄날동물병원,서울특별시 양천구 목동 753-12,"서울특별시 양천구 목동중앙로 89, 1층 (목동)"
신월동물병원,서울특별시 양천구 신월동 1002-3,"서울특별시 양천구 신월로 124, 1층 (신월동)"
산책동물병원,서울특별시 양천구 신정동 324-7 대림아크로빌 102호,"서울특별시 양천구 목동서로 401, 1층 102호 (신정동, 대림아크로빌)"
정말로동물병원,서울특별시 양천구 신월동 559-7 2층 ,"서울특별시 양천구 신월로10길 22, 2층층 (신월동)"
신월라온동물의료센터,서울특별시 양천구 신월동 536-6 1층,"서울특별시 양천구 신월로 179, 1층 (신월동)"
24시월드펫동물메디컬센터,서울특별시 양천구 신월동 602-1,서울특별시 양천구 신월로 208(신월동)
공원옆동물의료센터,서울특별시 양천구 신정동 321-6 센트럴프라자 203호,"서울특별시 양천구 목동서로 349, 센트럴프라자 203호 (신정동)"
펫사랑동물병원,서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점),"서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 지하2층 (목동)"
24시 로운동물의료센터,서울특별시 양천구 목동 807-1,"서울특별시 양천구 등촌로 10, 1~2층 (목동)"
