공원명,위도,경도,infraNum
무지개어린이공원,37.528857,126.867057,0.594890163
목동누리어린이공원,37.545949,126.865505,0.6556101691
무궁화어린이공원,37.541779,126.864344,0.7893079627
백석어린이공원,37.545207,126.865033,0.6774836457
한두어린이공원,37.549183,126.865488,0.9524413785
나말어린이공원,37.5386,126.864552,0.8130475669
마장어린이공원,37.533518,126.864716,0.9205220675
모세미어린이공원,37.535258,126.868666,0.7847210449
정목어린이공원,37.536991,126.868362,0.9389420232
달님어린이공원,37.535159,126.885538,0.6964182504
별님어린이공원,37.537803,126.875239,0.5852873119
영도어린이공원,37.535077,126.872954,0.9101748775
은하수어린이공원,37.533422,126.878647,0.7201765096
장미어린이공원,37.534454,126.882792,0.4999957977
진달래어린이공원,37.531899,126.870112,0.8262127892
햇님어린이공원,37.539972,126.879436,0.5443718226
곰달래어린이공원,37.528759,126.837899,0.5566954956
돌다리어린이공원,37.532034,126.835777,0.9122110505
반곡어린이공원,37.529197,126.835516,0.7571097794
신대어린이공원,37.534811,126.832782,0.6696030697
신월어린이공원,37.527035,126.838188,0.4331916097
꽃동산어린이공원,37.526455,126.848438,0.8281743419
신곡어린이공원,37.526273,126.845105,0.5252721271
신장어린이공원,37.52424,126.842793,0.9986881487
경인어린이공원,37.532109,126.828852,0.6349552492
남부어린이공원,37.534781,126.826088,0.7612845105
꿀벌어린이공원,37.520006,126.842062,0.8634841209
남도어린이공원,37.524419,126.840845,0.9653616573
당곡어린이공원,37.518623,126.839964,0.9410634755
문화어린이공원,37.521225,126.842752,0.8921926691
태양어린이공원,37.524402,126.838609,0.6233424321
당뒤어린이공원,37.541479,126.828569,0.6722923514
방아다리어린이공원,37.538693,126.828358,0.8449272163
송죽어린이공원,37.539429,126.833885,0.5025127838
신오어린이공원,37.53822,126.831558,0.522181277
강신어린이공원,37.515553,126.838449,0.9024446062
강월어린이공원,37.515557,126.836291,0.8061102401
금실어린이공원,37.518107,126.837347,0.9713984248
아동어린이공원,37.523108,126.833341,0.9767644443
개나리어린이공원,37.517726,126.862761,0.7574348777
꽃사과어린이공원,37.520132,126.86468,0.6312183475
꿈나무어린이공원,37.517693,126.858437,0.7429132431
단지어린이공원,37.519825,126.854312,0.7879768061
양명어린이공원,37.519266,126.854492,0.7851789839
해태어린이공원,37.521708,126.861996,0.8046264088
신세계어린이공원,37.521716,126.875912,0.8602378608
신정어린이공원,37.520501,126.874747,0.8626898582
꽃사슴어린이공원,37.52177,126.848515,0.708681128
넓은들어린이공원,37.511144,126.839205,0.3903309393
숲속어린이공원,37.514682,126.830002,0.5993792737
신기어린이공원,37.514055,126.854326,0.8316555093
신이어린이공원,37.512554,126.837592,0.4823337067
푸른어린이공원,37.511281,126.837884,0.3139744073
하늘마루어린이공원,37.512645,126.83173,0.9747859264
학마을어린이공원,37.509022,126.84361,0
동개울어린이공원,37.527975,126.856515,0.6848232473
새뚝어린이공원,37.524125,126.857773,0.7969571743
안산어린이공원,37.524624,126.856207,0.7590806385
앞산어린이공원,37.526441,126.858394,0.9153103762
오구어린이공원,37.527327,126.861956,0.8863452671
은행정어린이공원,37.522057,126.855005,0.8662650155
음골어린이공원,37.52741,126.851241,0.7248175001
진주어린이공원,37.526554,126.855049,0.7830279957
홍익어린이공원,37.528578,126.862293,0.9090030528
기린어린이공원,37.51367,126.872445,0.5504240836
까치어린이공원,37.515011,126.86832,0.6968118763
꿈나래어린이공원,37.51636,126.869759,0.9644968467
꿈동산어린이공원,37.521958,126.867486,1
다람쥐어린이공원,37.513486,126.866086,0.4433876744
사슴어린이공원,37.515706,126.873442,0.7092537531
목련어린이공원,37.511472,126.858392,0.5397884128
세양어린이공원,37.506788,126.864108,0.7885374958
호돌이어린이공원,37.512595,126.861548,0.6221699136
오목공원,37.528005,126.873279,0.7095288123
달마을근린공원,37.543498,126.868468,0.7506206571
목동공원,37.546521,126.879263,0.4593097188
용왕산공원,37.543358,126.878788,0.3223305156
목마공원,37.538174,126.885602,0.8942756711
곰달래근린공원,37.524905,126.833211,0.8608373366
독서공원,37.519757,126.83485,0.9393194646
신월공원,37.518137,126.834492,0.6838202274
양지근린공원,37.5222,126.831005,0.8079318583
오솔길공원,37.521151,126.836556,0.7873592244
한울근린공원,37.519799,126.832525,0.6710017119
신트리공원,37.514612,126.856483,0.8001986249
계남공원,37.514104,126.850051,0.2717157575
넘은들공원,37.513034,126.840467,0.7201193301
연의공원,37.512717,126.833542,0.9337059485
양천공원,37.518012,126.868162,0.6645592713
갈산공원,37.50836,126.869014,0.8153558357
신월2동소공원,37.517649,126.848293,0.8538902029
신월6동소공원1,37.517261,126.843217,0.8828340178
신월6동소공원2,37.516725,126.844484,0.6850729514
신월6동소공원3,37.515737,126.843973,0.6316587061
신정소공원,37.506192,126.833035,0.06807063854
갈산소공원,37.510721,126.869612,0.9071852006
파리공원,37.535016,126.877154,0.8668156131
장수공원,37.522468,126.847043,0.6613899996
온수도시자연공원,37.514628,126.836199,0.7078785637
안양천공원,37.522877,126.879048,0.6795708988
서서울호수공원,37.528443,126.830473,0.8197062597
양천도시농업공원,37.512982,126.826174,0.1180962278
목동마중숲,37.5319248,126.8859869,0.1947161583
으뜸가로공원,37.53664574,126.8308721,0.6764775391
안양천 가족정원,37.52051916,126.8787081,0.5741893498
