left,bottom,동물병원개수,약국개수
942818.2212,1945650.9498,0,1
942818.2212,1945900.9498,0,0
944068.2212,1945650.9498,0,0
944068.2212,1945900.9498,0,0
944068.2212,1946150.9498,0,0
944068.2212,1946400.9498,0,0
944068.2212,1945150.9498,0,0
944068.2212,1945400.9498,0,0
944318.2212,1949150.9498,0,0
944318.2212,1949400.9498,1,1
944318.2212,1949650.9498,0,0
944318.2212,1949900.9498,1,0
944318.2212,1948150.9498,0,0
944318.2212,1948400.9498,0,0
944318.2212,1948650.9498,1,1
944318.2212,1948900.9498,0,0
944068.2212,1949650.9498,0,0
944068.2212,1949900.9498,1,0
944068.2212,1950150.9498,1,2
944068.2212,1948650.9498,0,2
944068.2212,1948900.9498,0,1
944068.2212,1949150.9498,0,0
944068.2212,1949400.9498,0,0
944068.2212,1947650.9498,0,0
944068.2212,1947900.9498,0,0
944068.2212,1948150.9498,1,0
944068.2212,1948400.9498,1,0
944068.2212,1946650.9498,0,0
944068.2212,1946900.9498,0,1
944068.2212,1947150.9498,0,0
944068.2212,1947400.9498,0,2
943818.2212,1948150.9498,1,3
943818.2212,1948400.9498,0,0
943818.2212,1948650.9498,0,0
943818.2212,1948900.9498,1,0
943818.2212,1947150.9498,0,0
943818.2212,1947400.9498,1,0
943818.2212,1947650.9498,0,1
943818.2212,1947900.9498,1,0
943818.2212,1946150.9498,0,0
943818.2212,1946400.9498,0,0
943818.2212,1946650.9498,1,1
943818.2212,1946900.9498,0,0
943818.2212,1945150.9498,0,0
943818.2212,1945400.9498,1,0
943818.2212,1945650.9498,0,0
943818.2212,1945900.9498,0,0
943568.2212,1946650.9498,0,0
943568.2212,1946900.9498,0,0
943568.2212,1947150.9498,0,0
943568.2212,1947400.9498,0,0
943568.2212,1945650.9498,0,0
943568.2212,1945900.9498,0,0
943568.2212,1946150.9498,0,0
943568.2212,1946400.9498,0,2
943818.2212,1950150.9498,0,2
943568.2212,1945150.9498,0,0
943568.2212,1945400.9498,0,0
943818.2212,1949150.9498,0,0
943818.2212,1949400.9498,0,0
943818.2212,1949650.9498,0,0
943818.2212,1949900.9498,0,5
944818.2212,1946150.9498,0,0
944818.2212,1946400.9498,0,0
944818.2212,1946650.9498,0,0
944818.2212,1946900.9498,0,0
944818.2212,1945650.9498,0,0
944818.2212,1945900.9498,0,0
945068.2212,1949650.9498,0,0
945068.2212,1949900.9498,0,0
945068.2212,1948650.9498,1,1
945068.2212,1948900.9498,0,0
945068.2212,1949150.9498,0,0
945068.2212,1949400.9498,0,0
944568.2212,1944900.9498,0,0
944568.2212,1945150.9498,0,0
944568.2212,1945400.9498,0,0
944818.2212,1949150.9498,0,0
944818.2212,1949400.9498,0,0
944818.2212,1949650.9498,1,0
944818.2212,1949900.9498,0,0
944818.2212,1948150.9498,0,0
944818.2212,1948400.9498,0,0
944818.2212,1948650.9498,1,0
944818.2212,1948900.9498,0,0
944818.2212,1947150.9498,0,2
944818.2212,1947400.9498,0,0
944818.2212,1947650.9498,0,1
944818.2212,1947900.9498,1,1
944568.2212,1948650.9498,0,1
944568.2212,1948900.9498,0,0
944568.2212,1949150.9498,0,0
944568.2212,1949400.9498,0,0
944568.2212,1947650.9498,0,0
944568.2212,1947900.9498,1,0
944568.2212,1948150.9498,0,0
944568.2212,1948400.9498,1,0
944568.2212,1946650.9498,0,1
944568.2212,1946900.9498,1,0
944568.2212,1947150.9498,0,2
944568.2212,1947400.9498,0,1
