fid,val,위도,경도,가장가까운인프라지수
"1",,37.510213617587,126.822516767049,0
"2",,37.5147201254985,126.822476030154,0
"3",,37.5169733781475,126.822455658305,0
"4",,37.5327461222954,126.822312991822,0
"5",164,37.5349993679741,126.822292601816,0
"6",,37.5372526127814,126.822272209539,0
"7",0,37.5395058567174,126.822251814991,0
"8",,37.5417590997819,126.822231418172,0
"9",,37.5079765510275,126.825365607165,0
"10",,37.5102298075999,126.82534532713,0
"11",0,37.5124830633013,126.825325044837,0
"12",642,37.5147363181316,126.825304760285,0
"13",,37.5169895720907,126.825284473474,0
"14",,37.5192428251787,126.825264184404,0
"15",521,37.5214960773955,126.825243893075,0
"16",74,37.5237493287412,126.825223599486,0
"17",,37.5260025792156,126.825203303637,0
"18",422,37.5305090775509,126.825162705158,0
"19",2073,37.5327623254116,126.825142402527,0
"20",1981,37.5350155724011,126.825122097636,0
"21",517,37.5372688185193,126.825101790483,0
"22",640,37.5395220637661,126.825081481069,0
"23",132,37.5417753081417,126.825061169392,0
"24",,37.5440285516459,126.825040855454,0
"25",,37.5462817942787,126.825020539253,0
"26",,37.5079926720087,126.828194084494,0
"27",524,37.5102459298855,126.82817388947,0
"28",544,37.5124991868914,126.828153692197,0
"29",849,37.5147524430262,126.828133492675,0
"30",347,37.51700569829,126.828113290903,0
"31",,37.5192589526827,126.828093086881,0
"32",439,37.5215122062044,126.82807288061,0
"33",1117,37.5237654588549,126.828052672088,0
"34",,37.5260187106343,126.828032461316,0
"35",,37.5282719615426,126.828012248293,0
"36",1232,37.5305252115798,126.827992033019,0
"37",2109,37.5327784607457,126.827971815494,0.2
"38",1290,37.5350317090404,126.827951595717,0.25
"39",1511,37.537284956464,126.827931373689,0.1
"40",1054,37.5395382030163,126.827911149408,0
"41",2043,37.5417914486973,126.827890922875,0
"42",1488,37.5440446935071,126.827870694089,0
"43",,37.5462979374456,126.827850463051,0
"44",,37.5485511805127,126.827830229759,0
"45",,37.5035022043035,126.831062777382,0
"46",,37.5057554652211,126.831042671846,0
"47",,37.5080087252678,126.831022564072,0
