정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수,rank
3.31319,37.53304239,126.8760722,6.62638,2.85129,22.81032,29.436700000000002,1.0,1.0
4.02423,37.5375787,126.8816939,8.04846,1.48859,11.90872,19.95718,0.6779693375955864,2.0
2.97593,37.53531058,126.8788829,5.95186,1.619,12.952,18.90386,0.6421867940360163,3.0
1.16328,37.51720917,126.8648881,2.32656,1.93504,15.48032,17.80688,0.6049210679186185,4.0
1.22509,37.51719393,126.8620593,2.45018,1.65593,13.24744,15.697619999999999,0.5332669762575288,5.0
0.4911,37.51494066,126.8620785,0.9822,1.74148,13.93184,14.91404,0.5066478239748341,6.0
3.80273,37.53529566,126.8760534,7.60546,0.90579,7.24632,14.85178,0.5045327771115647,7.0
1.84752,37.53055728,126.8336507,3.69504,1.37209,10.97672,14.67176,0.49841728182846584,8.0
3.74087,37.52389206,126.8506853,7.48174,0.86461,6.91688,14.398620000000001,0.48913838847425156,9.0
4.81394,37.51940105,126.8535533,9.62788,0.58567,4.68536,14.31324,0.48623792748507816,10.0
7.14175,37.50807226,126.8423365,14.2835,0.0,0.0,14.2835,0.4852276240203555,11.0
2.9475,37.51949274,126.8705269,5.895,1.04293,8.34344,14.238439999999999,0.4836968817836238,12.0
3.91213,37.52853585,126.8761097,7.82426,0.77999,6.23992,14.06418,0.4777770606080165,13.0
2.35359,37.53078912,126.8760909,4.70718,1.10909,8.87272,13.579899999999999,0.4613254882510607,14.0
4.42048,37.53728496,126.8279314,8.84096,0.53986,4.31888,13.15984,0.4470555463078402,15.0
6.54614,37.51032553,126.8423167,13.09228,0.0,0.0,13.09228,0.44476045208871917,16.0
4.31946,37.52170047,126.8620209,8.63892,0.54929,4.39432,13.03324,0.4427547924869295,17.0
2.39266,37.51947762,126.867698,4.78532,1.012,8.096,12.881319999999999,0.43759388790183673,18.0
3.40721,37.53503171,126.8279516,6.81442,0.72908,5.83264,12.64706,0.42963579477319125,19.0
4.43913,37.51930693,126.8365798,8.87826,0.381,3.048,11.92626,0.40514935437735883,20.0
1.84242,37.51492535,126.8592497,3.68484,0.9739,7.7912,11.47604,0.3898548410657444,21.0
1.54666,37.53731703,126.8335905,3.09332,1.03011,8.24088,11.334200000000001,0.38503636616876213,22.0
