정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수
0.0,37.528857,126.867057,0.0,0.0,0.0,0.0,0.0
0.0,37.545949,126.865505,0.0,0.0,0.0,0.0,0.0
0.6169,37.541779,126.864344,1.2338,0.84588,6.76704,8.00084,0.35877015740284857
0.00919,37.545207,126.865033,0.01838,0.0,0.0,0.01838,0.0008241878969038696
0.67364,37.549183,126.865488,1.34728,0.79195,6.3356,7.682880000000001,0.34451233456827
1.50008,37.5386,126.864552,3.00016,0.79884,6.39072,9.39088,0.4211017212881725
1.41472,37.533518,126.864716,2.82944,0.0,0.0,2.82944,0.1268765072369796
2.35316,37.535258,126.868666,4.70632,0.0,0.0,4.70632,0.2110387368311545
0.02852,37.536991,126.868362,0.05704,0.0,0.0,0.05704,0.002557762657203304
0.31879,37.535159,126.885538,0.63758,0.0,0.0,0.63758,0.028590082660934126
1.18312,37.537803,126.875239,2.36624,0.0,0.0,2.36624,0.1061058960375306
0.10362,37.535077,126.872954,0.20724,0.0,0.0,0.20724,0.009292965166178344
3.34315,37.533422,126.878647,6.6863,0.64378,5.15024,11.83654,0.530768934125056
0.96991,37.534454,126.882792,1.93982,0.0,0.0,1.93982,0.08698455746311559
0.738,37.531899,126.870112,1.476,0.0,0.0,1.476,0.06618614449565352
3.03074,37.539972,126.879436,6.06148,0.0,0.0,6.06148,0.2718062270579362
1.55147,37.528759,126.837899,3.10294,0.33777,2.70216,5.8050999999999995,0.2603097475689148
0.00829,37.532034,126.835777,0.01658,0.80383,6.43064,6.447220000000001,0.2891034109182028
1.65016,37.529197,126.835516,3.30032,0.77844,6.22752,9.527840000000001,0.42724322152538446
0.35035,37.534811,126.832782,0.7007,0.46457,3.71656,4.41726,0.1980768351184759
0.0,37.527035,126.838188,0.0,0.33165,2.6532,2.6532,0.11897363047145522
0.01183,37.526455,126.848438,0.02366,0.0,0.0,0.02366,0.0010609513406281586
0.0,37.526273,126.845105,0.0,0.08148,0.65184,0.65184,0.02922952332523495
0.0,37.52424,126.842793,0.0,0.10323,0.82584,0.82584,0.037031954993421747
0.7166,37.532109,126.828852,1.4332,0.00374,0.02992,1.46312,0.06560858518596245
0.94698,37.534781,126.826088,1.89396,0.4525,3.62,5.51396,0.24725457540870843
1.86862,37.520006,126.842062,3.73724,0.0,0.0,3.73724,0.16758367659548518
0.0,37.524419,126.840845,0.0,0.0,0.0,0.0,0.0
1.66861,37.518623,126.839964,3.33722,0.0199,0.1592,3.4964199999999996,0.1567849318004694
1.57328,37.521225,126.842752,3.14656,0.0,0.0,3.14656,0.1410966631600566
0.01575,37.524402,126.838609,0.0315,0.35781,2.86248,2.89398,0.12977058160401853
0.2728,37.541479,126.828569,0.5456,0.0,0.0,0.5456,0.024465555851509863
1.95519,37.538693,126.828358,3.91038,0.7836,6.2688,10.179179999999999,0.4564503240699636
