정류장 히트맵,경도,위도,공원명
0,126.867057,37.528857,무지개어린이공원
0,126.865505,37.545949,목동누리어린이공원
0.62235,126.864344,37.541779,무궁화어린이공원
0.01382,126.865033,37.545207,백석어린이공원
0.64646,126.865488,37.549183,한두어린이공원
1.50741,126.864552,37.5386,나말어린이공원
1.39908,126.864716,37.533518,마장어린이공원
2.26678,126.868666,37.535258,모세미어린이공원
0.03497,126.868362,37.536991,정목어린이공원
0.31824,126.885538,37.535159,달님어린이공원
1.11973,126.875239,37.537803,별님어린이공원
0.14388,126.872954,37.535077,영도어린이공원
3.415,126.878647,37.533422,은하수어린이공원
1.02493,126.882792,37.534454,장미어린이공원
0.78586,126.870112,37.531899,진달래어린이공원
3.131,126.879436,37.539972,햇님어린이공원
1.49978,126.837899,37.528759,곰달래어린이공원
0.0269,126.835777,37.532034,돌다리어린이공원
1.64149,126.835516,37.529197,반곡어린이공원
0.27836,126.832782,37.534811,신대어린이공원
0,126.838188,37.527035,신월어린이공원
0.00608,126.848438,37.526455,꽃동산어린이공원
0,126.845105,37.526273,신곡어린이공원
0,126.842793,37.52424,신장어린이공원
0.69216,126.828852,37.532109,경인어린이공원
0.90636,126.826088,37.534781,남부어린이공원
1.76848,126.842062,37.520006,꿀벌어린이공원
0,126.840845,37.524419,남도어린이공원
1.62021,126.839964,37.518623,당곡어린이공원
1.5687,126.842752,37.521225,문화어린이공원
0.01629,126.838609,37.524402,태양어린이공원
0.26588,126.828569,37.541479,당뒤어린이공원
1.94936,126.828358,37.538693,방아다리어린이공원
0.84705,126.833885,37.539429,송죽어린이공원
1.59376,126.831558,37.53822,신오어린이공원
2.29645,126.838449,37.515553,강신어린이공원
2.08149,126.836291,37.515557,강월어린이공원
3.93196,126.837347,37.518107,금실어린이공원
0.78071,126.833341,37.523108,아동어린이공원
0.98731,126.862761,37.517726,개나리어린이공원
1.01242,126.86468,37.520132,꽃사과어린이공원
0.76426,126.858437,37.517693,꿈나무어린이공원
4.0916,126.854312,37.519825,단지어린이공원
4.0426,126.854492,37.519266,양명어린이공원
4.26712,126.861996,37.521708,해태어린이공원
0.71433,126.875912,37.521716,신세계어린이공원
1.25043,126.874747,37.520501,신정어린이공원
0.88045,126.848515,37.52177,꽃사슴어린이공원
4.24716,126.839205,37.511144,넓은들어린이공원
3.68267,126.830002,37.514682,숲속어린이공원
2.87306,126.854326,37.514055,신기어린이공원
1.51956,126.837592,37.512554,신이어린이공원
4.00267,126.837884,37.511281,푸른어린이공원
2.43553,126.83173,37.512645,하늘마루어린이공원
8.65417,126.84361,37.509022,학마을어린이공원
0,126.856515,37.527975,동개울어린이공원
0.99699,126.857773,37.524125,새뚝어린이공원
1.11232,126.856207,37.524624,안산어린이공원
1.41426,126.858394,37.526441,앞산어린이공원
0.81835,126.861956,37.527327,오구어린이공원
1.95238,126.855005,37.522057,은행정어린이공원
0,126.851241,37.52741,음골어린이공원
0.23806,126.855049,37.526554,진주어린이공원
0.42616,126.862293,37.528578,홍익어린이공원
2.52772,126.872445,37.51367,기린어린이공원
2.30049,126.86832,37.515011,까치어린이공원
1.47666,126.869759,37.51636,꿈나래어린이공원
1.43071,126.867486,37.521958,꿈동산어린이공원
1.70933,126.866086,37.513486,다람쥐어린이공원
1.86364,126.873442,37.515706,사슴어린이공원
2.09048,126.858392,37.511472,목련어린이공원
0.93395,126.864108,37.506788,세양어린이공원
1.52629,126.861548,37.512595,호돌이어린이공원
3.04156,126.873279,37.528005,오목공원
0.72765,126.868468,37.543498,달마을근린공원
0.10981,126.879263,37.546521,목동공원
0.04195,126.878788,37.543358,용왕산공원
1.3267,126.885602,37.538174,목마공원
0.07872,126.833211,37.524905,곰달래근린공원
2.14118,126.83485,37.519757,독서공원
0.17645,126.834492,37.518137,신월공원
0.05617,126.831005,37.5222,양지근린공원
3.42621,126.836556,37.521151,오솔길공원
0.00652,126.832525,37.519799,한울근린공원
2.99906,126.856483,37.514612,신트리공원
0,126.850051,37.514104,계남공원
0.88759,126.840467,37.513034,넘은들공원
4.42071,126.833542,37.512717,연의공원
1.25977,126.868162,37.518012,양천공원
0,126.869014,37.50836,갈산공원
0,126.848293,37.517649,신월2동소공원
1.38388,126.843217,37.517261,신월6동소공원1
0,126.844484,37.516725,신월6동소공원2
0,126.843973,37.515737,신월6동소공원3
0.67388,126.833035,37.506192,신정소공원
1.6559,126.869612,37.510721,신정7동소공원
4.74669,126.877154,37.535016,파리공원
3.83266,126.847043,37.522468,장수공원
1.15263,126.836199,37.514628,온수도시자연공원
0.59916,126.879048,37.522877,안양천공원
0.28932,126.830473,37.528443,서서울호수공원
0.18762,126.826174,37.512982,양천도시농업공원
