정류장 히트맵,위도,경도
0,37.528857,126.867057
0,37.545949,126.865505
0.6169,37.541779,126.864344
0.00919,37.545207,126.865033
0.67364,37.549183,126.865488
1.50008,37.5386,126.864552
1.41472,37.533518,126.864716
2.35316,37.535258,126.868666
0.02852,37.536991,126.868362
0.31879,37.535159,126.885538
1.18312,37.537803,126.875239
0.10362,37.535077,126.872954
3.34315,37.533422,126.878647
0.96991,37.534454,126.882792
0.738,37.531899,126.870112
3.03074,37.539972,126.879436
1.55147,37.528759,126.837899
0.00829,37.532034,126.835777
1.65016,37.529197,126.835516
0.35035,37.534811,126.832782
0,37.527035,126.838188
0.01183,37.526455,126.848438
0,37.526273,126.845105
0,37.52424,126.842793
0.7166,37.532109,126.828852
0.94698,37.534781,126.826088
1.86862,37.520006,126.842062
0,37.524419,126.840845
1.66861,37.518623,126.839964
1.57328,37.521225,126.842752
0.01575,37.524402,126.838609
0.2728,37.541479,126.828569
1.95519,37.538693,126.828358
0.82143,37.539429,126.833885
1.54948,37.53822,126.831558
2.29507,37.515553,126.838449
2.11673,37.515557,126.836291
4.04517,37.518107,126.837347
0.70504,37.523108,126.833341
1.00542,37.517726,126.862761
1.06078,37.520132,126.86468
0.79467,37.517693,126.858437
4.00869,37.519825,126.854312
4.07455,37.519266,126.854492
4.30589,37.521708,126.861996
0.73013,37.521716,126.875912
1.22756,37.520501,126.874747
0.85007,37.52177,126.848515
4.22882,37.511144,126.839205
3.61529,37.514682,126.830002
3.00094,37.514055,126.854326
1.40966,37.512554,126.837592
4.0343,37.511281,126.837884
2.43875,37.512645,126.83173
8.71531,37.509022,126.84361
0,37.527975,126.856515
1.0402,37.524125,126.857773
1.09237,37.524624,126.856207
1.47508,37.526441,126.858394
0.75052,37.527327,126.861956
1.9322,37.522057,126.855005
0,37.52741,126.851241
0.23686,37.526554,126.855049
0.40298,37.528578,126.862293
2.5941,37.51367,126.872445
2.27237,37.515011,126.86832
1.4957,37.51636,126.869759
1.43241,37.521958,126.867486
1.69774,37.513486,126.866086
1.86883,37.515706,126.873442
1.9707,37.511472,126.858392
1.02406,37.506788,126.864108
1.49004,37.512595,126.861548
2.96969,37.528005,126.873279
0.79374,37.543498,126.868468
0.09039,37.546521,126.879263
0.05305,37.543358,126.878788
1.23284,37.538174,126.885602
0.0532,37.524905,126.833211
2.17296,37.519757,126.83485
0.20611,37.518137,126.834492
0.09879,37.5222,126.831005
3.51489,37.521151,126.836556
0.0039,37.519799,126.832525
3.06056,37.514612,126.856483
0,37.514104,126.850051
0.81383,37.513034,126.840467
4.53856,37.512717,126.833542
1.2528,37.518012,126.868162
0,37.50836,126.869014
0,37.517649,126.848293
1.21622,37.517261,126.843217
0,37.516725,126.844484
0,37.515737,126.843973
0.69574,37.506192,126.833035
1.63631,37.510721,126.869612
4.72969,37.535016,126.877154
3.79458,37.522468,126.847043
1.1943,37.514628,126.836199
0.5536,37.522877,126.879048
0.28646,37.528443,126.830473
0.20661,37.512982,126.826174
0.06411,37.5319248,126.8859869
1.40809,37.53664574,126.8308721
1.67744,37.52051916,126.8787081
