"동별(1)","동별(2)",동별(3),구분별(1),구분별(2),구분별(3),2012
"합계","소계",소계,유기동물보호현황,소계,소계,13556
"합계","소계",소계,유기동물보호현황,개,소계,7860
"합계","소계",소계,유기동물보호현황,개,인도(주인),1762
"합계","소계",소계,유기동물보호현황,개,입양분양,2327
"합계","소계",소계,유기동물보호현황,개,폐사안락사,3310
"합계","소계",소계,유기동물보호현황,개,계류기증,461
"합계","소계",소계,유기동물보호현황,고양이,소계,5350
"합계","소계",소계,유기동물보호현황,고양이,인도(주인),85
"합계","소계",소계,유기동물보호현황,고양이,입양분양,1369
"합계","소계",소계,유기동물보호현황,고양이,폐사안락사,3319
"합계","소계",소계,유기동물보호현황,고양이,계류기증,577
"합계","소계",소계,유기동물보호현황,기타,소계,346
"합계","소계",소계,유기동물보호현황,기타,인도(주인),11
"합계","소계",소계,유기동물보호현황,기타,입양분양,148
"합계","소계",소계,유기동물보호현황,기타,폐사안락사,166
"합계","소계",소계,유기동물보호현황,기타,계류기증,21
"합계","종로구",소계,유기동물보호현황,소계,소계,371
"합계","종로구",소계,유기동물보호현황,개,소계,129
"합계","종로구",소계,유기동물보호현황,개,인도(주인),17
"합계","종로구",소계,유기동물보호현황,개,입양분양,31
"합계","종로구",소계,유기동물보호현황,개,폐사안락사,77
"합계","종로구",소계,유기동물보호현황,개,계류기증,4
"합계","종로구",소계,유기동물보호현황,고양이,소계,238
"합계","종로구",소계,유기동물보호현황,고양이,인도(주인),2
"합계","종로구",소계,유기동물보호현황,고양이,입양분양,72
"합계","종로구",소계,유기동물보호현황,고양이,폐사안락사,163
"합계","종로구",소계,유기동물보호현황,고양이,계류기증,1
"합계","종로구",소계,유기동물보호현황,기타,소계,4
"합계","종로구",소계,유기동물보호현황,기타,인도(주인),1
"합계","종로구",소계,유기동물보호현황,기타,폐사안락사,3
"합계","종로구",사직동,유기동물보호현황,소계,소계,17
"합계","종로구",사직동,유기동물보호현황,개,소계,10
"합계","종로구",사직동,유기동물보호현황,개,인도(주인),2
"합계","종로구",사직동,유기동물보호현황,개,입양분양,3
"합계","종로구",사직동,유기동물보호현황,개,폐사안락사,5
"합계","종로구",사직동,유기동물보호현황,고양이,소계,7
"합계","종로구",사직동,유기동물보호현황,고양이,입양분양,3
"합계","종로구",사직동,유기동물보호현황,고양이,폐사안락사,4
"합계","종로구",삼청동,유기동물보호현황,소계,소계,16
"합계","종로구",삼청동,유기동물보호현황,개,소계,3
"합계","종로구",삼청동,유기동물보호현황,개,인도(주인),1
"합계","종로구",삼청동,유기동물보호현황,개,입양분양,1
"합계","종로구",삼청동,유기동물보호현황,개,계류기증,1
"합계","종로구",삼청동,유기동물보호현황,고양이,소계,13
"합계","종로구",삼청동,유기동물보호현황,고양이,입양분양,3
"합계","종로구",삼청동,유기동물보호현황,고양이,폐사안락사,10
"합계","종로구",부암동,유기동물보호현황,소계,소계,5
"합계","종로구",부암동,유기동물보호현황,개,소계,5
"합계","종로구",부암동,유기동물보호현황,개,입양분양,1
"합계","종로구",부암동,유기동물보호현황,개,폐사안락사,4
"합계","종로구",평창동,유기동물보호현황,소계,소계,81
"합계","종로구",평창동,유기동물보호현황,개,소계,32
"합계","종로구",평창동,유기동물보호현황,개,인도(주인),4
"합계","종로구",평창동,유기동물보호현황,개,입양분양,7
"합계","종로구",평창동,유기동물보호현황,개,폐사안락사,20
"합계","종로구",평창동,유기동물보호현황,개,계류기증,1
