"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","사직동",계,9326,178,310,313,356,420,666,811,685,733,750,815,696,727,572,369,329,302,200,70,19,5
"종로구","사직동",한국인,9042,168,305,303,352,410,647,787,649,695,712,791,679,703,556,365,328,300,199,69,19,5
"종로구","사직동",외국인,284,10,5,10,4,10,19,24,36,38,38,24,17,24,16,4,1,2,1,1,0,0
"종로구","삼청동",계,2495,36,72,105,95,102,153,161,157,228,176,183,184,216,190,140,119,91,58,23,4,2
"종로구","삼청동",한국인,2252,30,56,82,79,98,147,149,136,180,141,176,173,207,174,131,117,91,56,23,4,2
"종로구","삼청동",외국인,243,6,16,23,16,4,6,12,21,48,35,7,11,9,16,9,2,0,2,0,0,0
"종로구","부암동",계,9443,117,268,393,458,581,681,667,592,710,737,860,791,729,613,391,354,275,146,57,19,4
"종로구","부암동",한국인,9136,117,268,393,455,522,600,607,551,682,728,852,783,725,609,390,353,275,146,57,19,4
"종로구","부암동",외국인,307,0,0,0,3,59,81,60,41,28,9,8,8,4,4,1,1,0,0,0,0,0
"종로구","평창동",계,17635,411,622,737,795,969,1094,1053,1058,1324,1215,1664,1517,1571,1252,725,664,469,348,99,36,12
"종로구","평창동",한국인,17442,409,619,733,790,964,1087,1035,1038,1297,1196,1636,1505,1553,1240,719,661,467,346,99,36,12
"종로구","평창동",외국인,193,2,3,4,5,5,7,18,20,27,19,28,12,18,12,6,3,2,2,0,0,0
"종로구","무악동",계,8040,207,355,471,459,437,392,389,466,626,677,846,592,619,480,342,255,259,116,41,7,4
"종로구","무악동",한국인,8012,205,355,471,459,437,390,385,459,624,674,841,591,617,480,342,255,259,116,41,7,4
"종로구","무악동",외국인,28,2,0,0,0,0,2,4,7,2,3,5,1,2,0,0,0,0,0,0,0,0
"종로구","교남동",계,9870,327,428,402,403,458,670,709,769,887,853,933,715,631,561,403,292,253,129,38,9,0
