주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
122-1-000005,언주로147길,공영,노상,서울특별시 강남구 언주로 147길 18,,13,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51982005,127.0327639,2023-02-08
122-1-000006,도산대로45길,공영,노상,서울특별시 강남구 도산대로 323,,33,1,미시행,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52289716,127.0370163,2023-02-08
122-1-000007,언주로171길,공영,노상,서울특별시 강남구 언주로 857,,30,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52702081,127.0329823,2023-02-08
122-1-000008,선릉로146길,공영,노상,서울특별시 강남구 선릉로 742,,32,1,미시행,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52138784,127.0437375,2023-02-08
122-1-000009,선릉로132길,공영,노상,서울특별시 강남구 학동로 405,,17,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51778433,127.0423599,2023-02-08
122-1-000010,테헤란로64길,공영,노상,서울특별시 강남구 테헤란로 412,,8,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50476313,127.0512575,2023-02-08
122-1-000011,영동대로85길,공영,노상,서울특별시 강남구 테헤란로 504,,77,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50662718,127.0573467,2023-02-08
122-1-000012,테헤란로26길,공영,노상,서울특별시 강남구 테헤란로 152,,12,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50002568,127.0365099,2023-02-08
122-1-000013,논현로28길,공영,노상,서울특별시 강남구 논현로28길 25,,66,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48363566,127.0438602,2023-02-08
122-1-000014,영동대로106길,공영,노상,서울특별시 강남구 영동대로106길33,,59,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51416345,127.0638489,2023-02-08
122-1-000015,영동대로96길,공영,노상,서울특별시 강남구 테헤란로103길10,,77,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51020596,127.0643703,2023-02-08
122-1-000016,남부순환로397길,공영,노상,서울특별시 강남구 남부순환로2921,,33,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49349291,127.0597745,2023-02-08
122-1-000017,대치동507-3,공영,노상,서울특별시 강남구 삼성로 151,,26,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49315606,127.063,2023-02-08
122-1-000018,헌릉로745길,공영,노상,서울특별시 강남구 헌릉로745길 37,,218,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.47031418,127.1186383,2023-02-08
122-1-000019,은마아파트,공영,노상,서울특별시 강남구 삼성로 212,,57,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,300,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49961649,127.0659173,2023-02-08
122-1-000021,압구정로29길,공영,노상,서울특별시 강남구 압구정로29길 51,,140,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,5,200,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.53084614,127.0271391,2023-02-08
122-1-000020,대치유수지,공영,노상,서울특별시 강남구 역삼로107길 20-30,,56,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,5,200,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50431853,127.0680522,2023-02-08
122-1-000022,일원동맛의거리,공영,노상,서울특별시 강남구 일원로 53,,42,4,미시행,평일,11:00,21:00,0:00,0:00,0:00,0:00,유료,5,100,5,100,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48926358,127.0818109,2023-02-08
122-2-000005,도곡로327,공영,노외,서울특별시 강남구 도곡로 327,,17,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49615651,127.0516657,2023-02-08
122-2-000003,도곡로21길7,공영,노외,서울특별시 강남구 도곡로 21길7,,75,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49259343,127.0388719,2023-02-08
122-2-000001,도곡로421,공영,노외,서울특별시 강남구 도곡로 421,,24,1,미시행,평일+토요일+공휴일,9:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49767882,127.0564526,2023-02-08
122-2-000007,강남치매안심센터,공영,노외,서울특별시 강남구 선릉로 108길 27,,95,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51031175,127.0463777,2023-02-08
122-2-000004,역삼1동문화센터,공영,노외,서울특별시 강남구 역삼로 7길 16,,118,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49537384,127.0332825,2023-02-08
122-2-000006,삼성1동문화센터,공영,노외,서울특별시 강남구 봉은사로 616,,70,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,400,5,400,,,150000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.51435513,127.0626094,2023-02-08
122-2-000008,압구정428,공영,노외,서울특별시 강남구 압구정로 161,,344,1,미시행,평일+토요일+공휴일,9:00,21:00,9:00,15:00,0:00,15:00,유료,5,400,5,400,,,,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52684211,127.0270562,2023-02-08
122-2-000029,역삼문화공원,공영,노외,서울특별시 강남구 테헤란로7길 32,,51,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50251419,127.0303905,2023-02-08
122-2-000010,언북초교,공영,노외,서울특별시 강남구 삼성로 135길 42,,225,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52012607,127.0447141,2023-02-08
122-2-000009,논현로32길15,공영,노외,서울특별시 강남구 논현로 32길15,,16,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48425211,127.0434399,2023-02-08
122-2-000011,대치2문화센터,공영,노외,서울특별시 강남구 영동대로 65길 24,,159,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50230604,127.0641871,2023-02-08
122-2-000012,논현초교,공영,노외,서울특별시 강남구 강남대로 120길33,,192,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.50849066,127.0262217,2023-02-08
122-2-000013,도곡초교,공영,노외,서울특별시 강남구 선릉로 64길 33,,200,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49951063,127.0544636,2023-02-08
122-2-000014,신구초교,공영,노외,서울특별시 강남구 압구정로 18길 28,,185,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,300,5,300,,,180000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.52336132,127.0239924,2023-02-08
122-2-000015,구룡산제1호,공영,노외,서울특별시 강남구 양재대로 478,,92,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.47606698,127.0672853,2023-02-08
122-2-000016,구룡산제2호,공영,노외,서울특별시 강남구 양재대로 478,,132,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.47606698,127.0672851,2023-02-08
122-2-000019,포이초교,공영,노외,서울특별시 강남구 개포로22길 87,,194,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.47591562,127.0525106,2023-02-08
122-2-000017,논현로22길,공영,노외,서울특별시 강남구 개포로25길 32,,86,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48202648,127.0484224,2023-02-08
122-2-000020,개포동공원,공영,노외,서울특별시 강남구 개포로 509,,149,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48970767,127.0682922,2023-02-08
122-2-000021,언주초교,공영,노외,서울특별시 강남구 남부순환로363길19,,191,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,200,5,200,,,120000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.48632308,127.0367927,2023-02-08
122-2-000025,탄천제2호,공영,노외,서울특별시 강남구 양재대로 55길28,,322,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,5,100,5,100,,,70000,카드+현금+무통장+지로,,강남구도시관리공단,1544-3113,37.49314747,127.0877676,2023-02-08
