시군구명,영업내용,사업장명칭,소재지 주소(지번),소재지 주소(도로명),신고일자,관리부서,관리부서 전화번호,데이터기준일
서울특별시 강남구,동물 ( 판매 ),도그케슬,"서울특별시 강남구 청담동 20-18 지하1층, 지상1층 ","서울특별시 강남구 도산대로62길 14 (청담동, 지하1층, 지상1층 )",2011-01-03,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),슈퍼바우,서울특별시 강남구 신사동 657-6 1층 ,"서울특별시 강남구 선릉로157길 27-6, 1층 (신사동)",2012-10-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),요미독 강아지 고양이 분양 애견샵 강남점,서울특별시 강남구 역삼동 681-4 1층 ,"서울특별시 강남구 언주로108길 17, 1층 (역삼동)",2013-04-25,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강남고양이 분양 히어로펫,서울특별시 강남구 논현동 159-23 보령빌딩 ,"서울특별시 강남구 강남대로122길 47, 보령빌딩 1층 (논현동)",2014-07-07,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),킴스토리 청담,서울특별시 강남구 청담동 7-3 1층 ,"서울특별시 강남구 삼성로149길 3-8, 1층 (청담동)",2014-11-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),미니펫 강아지고양이 강남점,서울특별시 강남구 역삼동 659-12 1층 ,"서울특별시 강남구 논현로106길 8, 1층 (역삼동)",2014-12-26,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),어바웃독,서울특별시 강남구 역삼동 770-15 RICHNOA VILL ,"서울특별시 강남구 논현로72길 29, 1층 (역삼동, RICHNOA VILL)",2016-09-22,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강아지마을2012,서울특별시 강남구 신사동 ,서울특별시 강남구 압구정로12길 44 (신사동),2016-10-11,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),멈미스,서울특별시 강남구 청담동 132-15 103호,"서울특별시 강남구 학동로101길 19, 103호 (청담동)",2016-10-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),베이비몽강남점,서울특별시 강남구 신사동 662-16 1층 ,"서울특별시 강남구 선릉로161길 15-3, 1층 (신사동)",2016-11-28,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),프블리,서울특별시 강남구 신사동 574-3 신운빌딩 103호,"서울특별시 강남구 압구정로 150, 103호 (신사동, 신운빌딩)",2017-02-15,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),스타돌스,서울특별시 강남구 신사동 582-3 103호 ,"서울특별시 강남구 압구정로28길 25, 103호 (신사동, 엑시)",2017-10-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),청담독,서울특별시 강남구 삼성동 52-3 1층 4호 ,"서울특별시 강남구 학동로 504, 1층 4호 (삼성동)",2017-12-18,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),강남 고양이 분양 캣프렌즈,서울특별시 강남구 신사동 534-3 202호,"서울특별시 강남구 압구정로12길 36, 2층 2호 (신사동)",2018-01-09,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),위드마이퍼피,서울특별시 강남구 삼성동 118 ,서울특별시 강남구 봉은사로74길 13 (삼성동),2018-01-30,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),달이네 애견미용실,서울특별시 강남구 논현동 125-17 1층 ,"서울특별시 강남구 학동로12길 5, 1층 (논현동)",2018-03-14,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),화이트파크,서울특별시 강남구 청담동 123-17 청맥빌딩 1~2층 ,"서울특별시 강남구 도산대로89길 25, 청맥빌딩 1~2층 (청담동)",2018-03-21,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),고양이 나비캣 강남점,서울특별시 강남구 논현동 65 1층 ,"서울특별시 강남구 도산대로30길 11, 1층 (논현동)",2018-03-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),Pet.J,서울특별시 강남구 청담동 93-10 ,서울특별시 강남구 압구정로80길 36 (청담동),2018-06-27,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),한남동 강아지 in 신사,서울특별시 강남구 논현동 18-1 나라키움 논현동A주택 101호,"서울특별시 강남구 강남대로146길 6, 101호 (논현동, 나라키움 논현동A주택)",2018-08-17,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),더왈츠앤조이피아,서울특별시 강남구 역삼동 834-8 MS빌딩 1층 ,"서울특별시 강남구 역삼로 134, MS빌딩 1층 (역삼동)",2019-03-04,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),라온캣 강남점,서울특별시 강남구 논현동 110-21 1층 ,"서울특별시 강남구 선릉로133길 14, 1층 (논현동)",2019-05-08,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),도그마루 강아지고양이 강남점,서울특별시 강남구 역삼동 830-41 네스빌 1층 ,"서울특별시 강남구 역삼로7길 17, 네스빌 1층 (역삼동)",2019-10-01,지역경제과,02-3423-5518,2022-09-22
서울특별시 강남구,동물 ( 판매 ),루피퍼피 강아지 강남점,서울특별시 강남구 논현동 198-20 ,"서울특별시 강남구 강남대로112길 11, 1층 (논현동)",2019-10-16,지역경제과,02-3423-5518,2022-09-22
