"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3140000","314000001120040002","20040322","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 양천구 신월동 931-1번지 ","서울특별시 양천구 지양로 75 (신월동)","","김약국","2006-05-29 13:49:37","I","2018-08-31 23:59:59.0","","185195.750311335    ","446675.50089973     ","동물약국","","","000",""
"3140000","314000001120040005","20040913","","01","영업/정상","0000","정상","","","","","2602-6489","56","","서울특별시 양천구 신월동 18-4번지 ","서울특별시 양천구 월정로50길 10 (신월동)","","대우실로암약국","2004-09-13 10:40:11","I","2018-08-31 23:59:59.0","","184999.813464892    ","448835.474449399    ","동물약국","","","000",""
"3140000","314000001120120001","20120531","","01","영업/정상","0000","정상","","","","","2697-0485","0","","서울특별시 양천구 신월동 110-1번지 은성상가 ","서울특별시 양천구 곰달래로5길 30 (신월동, 은성상가)","07922","양천동물약국","2014-01-21 10:58:35","I","2018-08-31 23:59:59.0","","185214.1358482      ","447808.60383603     ","동물약국","","","000",""
"3140000","314000001120120004","20121205","","01","영업/정상","0000","정상","","","","","2645-7525","","","서울특별시 양천구 목동 610-14번지 ","서울특별시 양천구 목동중앙북로 27 (목동)","07946","목동세명약국","2012-12-05 14:46:15","I","2018-08-31 23:59:59.0","","188144.220046577    ","449584.740750439    ","동물약국","","","000",""
"3140000","314000001120130001","20130604","","01","영업/정상","0000","정상","","","","","2642-8345","","","서울특별시 양천구 목동 613-5번지 ","서울특별시 양천구 목동중앙북로 3 (목동)","07946","보룡동물약국","2013-06-04 16:04:14","I","2018-08-31 23:59:59.0","","187916.262445693    ","449629.868996021    ","동물약국","","","000",""
"3140000","314000001120130005","20130614","","01","영업/정상","0000","정상","","","","","2693-3022","","","서울특별시 양천구 신월동 575-30번지 ","서울특별시 양천구 신월로 176 (신월동)","08064","백십자약국","2013-06-14 15:58:58","I","2018-08-31 23:59:59.0","","186044.489579314    ","446271.746913627    ","동물약국","","","000",""
"3140000","314000001120130006","2013-06-19","","01","영업/정상","0000","정상","","","","","2644-3395","0","","서울특별시 양천구 신정동 1031-1","서울특별시 양천구 중앙로 276 (신정동)","08082","수정약국","2023-05-31 14:52:51","U","2022-12-06 00:02:00.0","","186925.884838357","446522.764708979","","","","",""
"3140000","314000001120130008","20130719","","01","영업/정상","0000","정상","","","","","2698-1635","0","","서울특별시 양천구 신정동 908-15번지 1층 ","서울특별시 양천구 오목로 193, 1층 (신정동)","07944","은혜약국","2015-02-06 13:39:46","I","2018-08-31 23:59:59.0","","187454.397352696    ","447053.343570561    ","동물약국","","","000",""
"3140000","314000001120130009","20130719","","01","영업/정상","0000","정상","","","","","2646-1001","","","서울특별시 양천구 신정동 314번지 목동8단지상가 113호 ","서울특별시 양천구 목동서로 280 (신정동, 목동8단지상가 113호)","08012","우주약국","2013-07-19 15:36:15","I","2018-08-31 23:59:59.0","","188231.066258507    ","446607.610723286    ","동물약국","","","000",""
"3140000","314000001120130010","20130731","","01","영업/정상","0000","정상","","","","","2648-0507","","","서울특별시 양천구 신정동 323-16번지 대영프라자 109호 ","서울특별시 양천구 목동동로 63 (신정동, 대영프라자 109호)","08093","한솔약국","2013-07-31 12:28:24","I","2018-08-31 23:59:59.0","","187758.0753401      ","445907.064446739    ","동물약국","","","000",""
"3140000","314000001120140003","20140805","","01","영업/정상","0000","정상","","","","","2061-0214","","","서울특별시 양천구 목동 909-5번지 1층 105호 ","서울특별시 양천구 목동동로 435, 1층 105호 (목동)","07984","목동정문약국","2014-08-05 13:21:06","I","2018-08-31 23:59:59.0","","189755.541308355    ","448356.632865262    ","동물약국","","","000",""
"3140000","314000001120150005","20150707","","01","영업/정상","0000","정상","","","","","2602-7613","","","서울특별시 양천구 신월동 115-11번지 ","서울특별시 양천구 곰달래로13길 20-1 (신월동)","07923","신월시장약국","2015-07-07 10:31:29","I","2018-08-31 23:59:59.0","","185494.645272158    ","447737.31800638     ","동물약국","","","000",""
"3140000","314000001120150010","20151106","","01","영업/정상","0000","정상","","","","","2605-1339","","","서울특별시 양천구 신월동 928-1번지 1층 101호","서울특별시 양천구 지양로 78, 1층 101호 (신월동)","08034","우성메디칼약국","2015-11-06 14:25:52","I","2018-08-31 23:59:59.0","","185221.95790954     ","446727.354964214    ","동물약국","","","000",""
"3140000","314000001120160005","20160524","","01","영업/정상","0000","정상","","","","","02-2644-4680","","","","서울특별시 양천구 목동동로12길 45 (목동, 목동삼익아파트)","08007","목동세계로약국","2016-05-24 13:20:08","I","2018-08-31 23:59:59.0","","188985              ","446713              ","동물약국","","","000",""
"3140000","314000001120170002","20170224","","01","영업/정상","0000","정상","","","","","","","","","서울특별시 양천구 신정이펜2로 20, 401호 (신정동, 서남프라자1)","08049","다민약국","2017-02-24 14:47:25","I","2018-08-31 23:59:59.0","","185099.82674039     ","445627.497359739    ","동물약국","","","000",""
"3140000","314000001120170003","20170421","","01","영업/정상","0000","정상","","","","","","","","서울특별시 양천구 신월동 991-1번지 ","서울특별시 양천구 지양로 30 (신월동)","08041","엄마손약국","2017-04-21 09:59:49","I","2018-08-31 23:59:59.0","","185505.381428112    ","446337.165995936    ","동물약국","","","000",""
"3140000","314000001120170005","20170613","","01","영업/정상","0000","정상","","","","","","","","","서울특별시 양천구 신목로 34 (신정동)","08015","더블유열린약국","2017-06-13 10:02:58","I","2018-08-31 23:59:59.0","","188793.497546726    ","446277.050684118    ","동물약국","","","000",""
