"정류장_ID","정류장_명칭","정류장_유형","정류장_번호","위도","경도","버스도착정보안내기_설치_여부"
"100000001","종로2가사거리","중앙차로","01001","37.5698080000","126.9877520000","설치   "
"100000002","창경궁.서울대학교병원","중앙차로","01002","37.5794330000","126.9965220000","설치   "
"100000003","명륜3가.성대입구","중앙차로","01003","37.5825810000","126.9982510000","설치   "
"100000004","종로2가.삼일교","중앙차로","01004","37.5685790000","126.9876130000","설치   "
"100000005","혜화동로터리.여운형활동터","중앙차로","01005","37.5862430000","127.0017440000","설치   "
"100000006","경기상고","일반차로","01101","37.5875500000","126.9693630000","설치   "
"100000007","신교동","일반차로","01102","37.5832960000","126.9702630000","설치   "
"100000008","경기상고","일반차로","01103","37.5871910000","126.9697700000","설치   "
"100000009","경복고교","일반차로","01104","37.5851600000","126.9708840000","설치   "
"100000010","청운중학교","일반차로","01105","37.5878090000","126.9726730000","설치   "
"100000011","자하문고개.윤동주문학관","일반차로","01106","37.5921870000","126.9671260000","설치   "
"100000012","자하문고개.윤동주문학관","일반차로","01107","37.5923350000","126.9671910000","설치   "
"100000013","청운중학교","일반차로","01108","37.5884210000","126.9722660000","설치   "
"100000014","경복고교","일반차로","01109","37.5850670000","126.9714040000","설치   "
"100000015","통인시장종로구보건소","일반차로","01110","37.5803260000","126.9710500000","설치   "
"100000016","통인시장종로구보건소","일반차로","01111","37.5805130000","126.9713850000","설치   "
"100000017","효자동","일반차로","01112","37.5830910000","126.9706210000","설치   "
"100000018","사직단.어린이도서관","일반차로","01113","37.5751360000","126.9679910000","설치   "
"100000019","경복궁역1번출구","일반차로","01114","37.5761620000","126.9714150000","설치   "
"100000020","경복궁역","일반차로","01115","37.5770380000","126.9721980000","설치   "
"100000021","경복궁역","일반차로","01116","37.5776710000","126.9722830000","설치   "
"100000022","경복궁","일반차로","01117","37.5755770000","126.9787470000","미설치  "
"100000023","KT광화문지사","일반차로","01118","37.5722100000","126.9774190000","설치   "
"100000025","광화문","일반차로","01120","37.5700450000","126.9764080000","미설치  "
"100000026","광화문.금호아시아나본관앞","일반차로","01121","37.5700490000","126.9741680000","미설치  "
"100000027","서울역사박물관.경교장.강북삼성병원","일반차로","01122","37.5697020000","126.9713910000","미설치  "
"100000028","서울역사박물관.경교장.강북삼성병원","일반차로","01123","37.5700230000","126.9712480000","설치   "
"100000029","광화문.금호아시아나본관앞","일반차로","01124","37.5703320000","126.9728390000","미설치  "
"100000030","광화문","일반차로","01125","37.5703650000","126.9758370000","설치   "
"100000031","세종문화회관","일반차로","01126","37.5736480000","126.9769970000","미설치  "
"100000032","서울경찰청.경복궁역","일반차로","01127","37.5757450000","126.9714840000","설치   "
"100000033","사직단","일반차로","01128","37.5748550000","126.9681890000","설치   "
"100000034","광화문.광화문빌딩","일반차로","01129","37.5694950000","126.9765450000","설치   "
"100000035","덕성여중고","일반차로","01130","37.5757680000","126.9819720000","설치   "
"100000036","안국역.서울공예박물관","일반차로","01131","37.5760700000","126.9839960000","설치   "
"100000037","국민은행세검정지점","일반차로","01132","37.6046630000","126.9608880000","미설치  "
"100000038","세검정초등학교","일반차로","01133","37.6025020000","126.9612200000","설치   "
"100000039","세검정.상명대","일반차로","01134","37.6004770000","126.9582920000","미설치  "
"100000040","상명대입구.석파랑","일반차로","01135","37.5994130000","126.9585700000","미설치  "
"100000041","하림각","일반차로","01136","37.5981330000","126.9617070000","미설치  "
"100000042","자하문터널입구.석파정","일반차로","01137","37.5955940000","126.9636430000","미설치  "
"100000043","부암동주민센터.무계원","일반차로","01138","37.5927660000","126.9642200000","설치   "
"100000044","부암동주민센터.무계원","일반차로","01139","37.5927860000","126.9651420000","설치   "
"100000045","자하문터널입구.석파정","일반차로","01140","37.5955580000","126.9639780000","설치   "
"100000046","하림각","일반차로","01141","37.5981480000","126.9622150000","설치   "
"100000047","상명대입구.세검정교회","일반차로","01142","37.5996160000","126.9592410000","설치   "
"100000048","세검정.상명대","일반차로","01143","37.6006480000","126.9591550000","설치   "
"100000049","세검정초등학교","일반차로","01144","37.6022680000","126.9614330000","미설치  "
"100000051","국민은행세검정지점","일반차로","01146","37.6048460000","126.9611950000","미설치  "
"100000053","승가사입구","일반차로","01148","37.6115840000","126.9563060000","미설치  "
"100000054","구기동현대빌라","일반차로","01149","37.6100360000","126.9564580000","설치   "
"100000055","구기터널.삼성출판박물관","일반차로","01150","37.6086100000","126.9562100000","설치   "
"100000056","구기터널.삼성출판박물관","일반차로","01151","37.6083050000","126.9564170000","설치   "
"100000057","구기동","일반차로","01152","37.6069640000","126.9585300000","설치   "
"100000058","구기동","일반차로","01153","37.6070090000","126.9591020000","설치   "
"100000059","승가사입구","일반차로","01154","37.6114800000","126.9564820000","미설치  "
"100000060","갑을씨티텔앞","일반차로","01155","37.6043710000","126.9635350000","설치   "
"100000061","평창파출소","일반차로","01156","37.6053220000","126.9660430000","설치   "
"100000062","평창동주민센터","일반차로","01157","37.6066070000","126.9695660000","미설치  "
"100000063","일성아파트","일반차로","01158","37.6088730000","126.9729250000","미설치  "
"100000064","롯데아파트","일반차로","01159","37.6103900000","126.9763170000","미설치  "
"100000065","롯데아파트","일반차로","01160","37.6102480000","126.9766520000","설치   "
"100000066","벽산평창힐스아파트","일반차로","01161","37.6081900000","126.9727970000","설치   "
"100000067","예능교회","일반차로","01162","37.6065170000","126.9700000000","미설치  "
"100000068","서울예술고등학교.평창동주민센터","일반차로","01163","37.6057790000","126.9676280000","설치   "
"100000069","화정박물관","일반차로","01164","37.6045040000","126.9648100000","설치   "
"100000071","독립문역","일반차로","01166","37.5749620000","126.9575200000","미설치  "
"100000072","독립문역.서대문형무소역사관","일반차로","01167","37.5733950000","126.9593220000","설치   "
"100000073","서대문.서울시교육청","일반차로","01168","37.5682540000","126.9645270000","설치   "
"100000074","독립문","일반차로","01170","37.5699530000","126.9628370000","미설치  "
"100000075","독립문","일반차로","01171","37.5713420000","126.9614300000","미설치  "
"100000076","창덕궁.서울돈화문국악당","일반차로","01172","37.5775410000","126.9885390000","설치   "
