아이디,관리번호,공원명,공원구분,소재지 도로명주소,소재지 지번주소,읍면동명,읍면동아이디,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,특이사항,데이터 기준일자,좌표,이미지명
PC001,11470-00020,무지개어린이공원,어린이공원,,서울특별시 양천구 목동 925-1,목1동,11150510,37.528857,126.867057,2241.63,야외헬스형운동기구4개,조합놀이터,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.867057 37.528857),PC001.jpeg
PC002,11470-00096,목동누리어린이공원,어린이공원,,서울특별시 양천구 목동 965-1,목3동,11150530,37.545949,126.865505,2374.05,야외헬스형운동기구2개,그네+조합놀이터+흔들놀이기구3개,음수대+파고라,도서관,,2011-07-28,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.865505 37.545949),PC002.jpeg
PC003,11470-00021,무궁화어린이공원,어린이공원,,서울특별시 양천구 목동 712-1,목3동,11150530,37.541779,126.864344,1056.66,야외헬스형운동기구3개,기타놀이기구+미끄럼틀+조합놀이터,음수대+파고라,,경로당+스마트교통알리미,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.864344 37.541779),PC003.jpeg
PC004,11470-00023,백석어린이공원,어린이공원,,서울특별시 양천구 목동 646-23,목3동,11150530,37.545207,126.865033,670.03,야외헬스형운동기구6개,조합놀이터+흔들놀이기구,,,경로당+수경시설,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.865033 37.545207),PC004.jpeg
PC005,11470-00022,한두어린이공원,어린이공원,,서울특별시 양천구 목동 611-1,목3동,11150530,37.549183,126.865488,880.79,야외헬스형운동기구3개,조합놀이터,,도서관,경로당+지압길,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.865488 37.549183),PC005.jpeg
PC006,11470-00027,나말어린이공원,어린이공원,,서울특별시 양천구 목동 724-1,목4동,11150540,37.5386,126.864552,1024.06,야외헬스형운동기구5개,그네+조합놀이터+흔들놀이기구,,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.864552 37.538600),PC006.jpeg
PC007,11470-00025,마장어린이공원,어린이공원,,서울특별시 양천구 목동 791-22,목4동,11150540,37.533518,126.864716,794.48,야외헬스형운동기구5개,그네+조합놀이터,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.864716 37.533518),PC007.jpeg
PC008,11470-00024,모세미어린이공원,어린이공원,,서울특별시 양천구 목동 772-1,목4동,11150540,37.535258,126.868666,946.9,야외헬스형운동기구3개,그네+기타놀이기구+조합놀이터,,,스마트교통알리미,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.868666 37.535258),PC008.jpeg
PC009,11470-00026,정목어린이공원,어린이공원,,서울특별시 양천구 목동 767-1,목4동,11150540,37.536991,126.868362,1019.9,야외헬스형운동기구3개,그네+기타놀이기구+조합놀이터,음수대+피크닉테이블2개,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.868362 37.536991),PC009.jpeg
PC010,11470-00034,달님어린이공원,어린이공원,,서울특별시 양천구 목동 911-5,목5동,11150710,37.535159,126.885538,4776.62,야외헬스형운동기구6개,그네+조합놀이터,파고라2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.885538 37.535159),PC010.jpeg
PC011,11470-00033,별님어린이공원,어린이공원,,서울특별시 양천구 목동 902-2,목5동,11150710,37.537803,126.875239,3977.96,야외헬스형운동기구6개,그네+조합놀이터,파고라2개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.875239 37.537803),PC011.jpeg
PC012,11470-00028,영도어린이공원,어린이공원,,서울특별시 양천구 목동 903-2,목5동,11150710,37.535077,126.872954,2819.47,야외헬스형운동기구2개,그네+조합놀이터+흔들놀이기구3개,파고라3개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.872954 37.535077),PC012.jpeg
PC013,11470-00030,은하수어린이공원,어린이공원,,서울특별시 양천구 목동 913-1,목5동,11150710,37.533422,126.878647,4014.17,야외헬스형운동기구5개,그네+오르는기구+조합놀이터2개,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.878647 37.533422),PC013.jpeg
PC014,11470-00031,장미어린이공원,어린이공원,,서울특별시 양천구 목동 912-1,목5동,11150710,37.534454,126.882792,4276.37,야외헬스형운동기구2개,그네+조합놀이터+흔들놀이기구4개,파고라,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.882792 37.534454),PC014.jpeg
PC015,11470-00029,진달래어린이공원,어린이공원,,서울특별시 양천구 목동 904-1,목5동,11150710,37.531899,126.870112,6857.16,야외헬스형운동기구1개,그네+조합놀이터3개+회전놀이기구,파고라4개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.870112 37.531899),PC015.jpeg
PC016,11470-00032,햇님어린이공원,어린이공원,,서울특별시 양천구 목동 901-2,목5동,11150710,37.539972,126.879436,2054.51,야외헬스형운동기구5개,그네+조합놀이터,파고라3개,,,1987-11-01,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.879436 37.539972),PC016.jpeg
PC017,11470-00036,곰달래어린이공원,어린이공원,,서울특별시 양천구 신월동 234-11,신월1동,11150570,37.528759,126.837899,564.74,야외헬스형운동기구1개,건너는기구+그네+오르는기구2개+조합놀이터+흔들놀이기구,음수대+파고라,,스마트교통알리미,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.837899 37.528759),PC017.jpeg
PC018,11470-00038,돌다리어린이공원,어린이공원,,서울특별시 양천구 신월동 119,신월1동,11150570,37.532034,126.835777,872.79,야외헬스형운동기구3개,그네+조합놀이터+흔들놀이기구3개,파고라,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.835777 37.532034),PC018.jpeg
PC019,11470-00037,반곡어린이공원,어린이공원,,서울특별시 양천구 신월동 230-1,신월1동,11150570,37.529197,126.835516,1044.51,,그네+기타놀이기구4개+조합놀이터+흔들놀이기구,음수대+파고라,,스마트교통알리미2개,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.835516 37.529197),PC019.jpeg
PC020,11470-00039,신대어린이공원,어린이공원,,서울특별시 양천구 신월동 100-1,신월1동,11150570,37.534811,126.832782,922.06,,건너는기구2개+그네+기타놀이기구+미끄럼틀2개+오르는기구+흔들놀이기구,음수대+파고라,,스마트교통알리미2개,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.832782 37.534811),PC020.jpeg
PC021,11470-00035,신월어린이공원,어린이공원,,서울특별시 양천구 신월동 240,신월1동,11150570,37.527035,126.838188,1094.86,야외헬스형운동기구4개,미끄럼틀+오르는기구2개+흔들놀이기구2개,음수대,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.838188 37.527035),PC021.jpeg
PC022,11470-00042,꽃동산어린이공원,어린이공원,,서울특별시 양천구 신월동 471,신월2동,11150580,37.526455,126.848438,857.54,야외헬스형운동기구4개,그네+조합놀이터+흔들놀이기구,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.848438 37.526455),PC022.jpeg
PC023,11470-00040,신곡어린이공원,어린이공원,,서울특별시 양천구 신월동 459,신월2동,11150580,37.526273,126.845105,901.83,야외헬스형운동기구3개,그네+기타놀이기구+조합놀이터2개,음수대+파고라,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.845105 37.526273),PC023.jpeg
PC024,11470-00041,신장어린이공원,어린이공원,,서울특별시 양천구 신월동 486,신월2동,11150580,37.52424,126.842793,870.07,야외헬스형운동기구4개,그네+기타놀이기구+조합놀이터,,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.842793 37.524240),PC024.jpeg
PC025,11470-00043,경인어린이공원,어린이공원,,서울특별시 양천구 신월동 196,신월3동,11150590,37.532109,126.828852,1006.06,야외헬스형운동기구5개,건너는기구+그네+조합놀이터,음수대,,수경시설,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.828852 37.532109),PC025.jpeg
PC026,11470-00044,남부어린이공원,어린이공원,,서울특별시 양천구 신월동 156,신월3동,11150590,37.534781,126.826088,870.6,야외헬스형운동기구7개,조합놀이터,정자,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.826088 37.534781),PC026.jpeg
PC027,11470-00046,꿀벌어린이공원,어린이공원,,서울특별시 양천구 신월동 531,신월4동,11150600,37.520006,126.842062,890.22,야외헬스형운동기구7개,그네+오르는기구+조합놀이터,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.842062 37.520006),PC027.jpeg
PC028,11470-00048,남도어린이공원,어린이공원,,서울특별시 양천구 신월동 426-4,신월4동,11150600,37.524419,126.840845,975.8,야외헬스형운동기구4개,그네+미끄럼틀+오르는기구4개,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.840845 37.524419),PC028.jpeg
PC029,11470-00049,당곡어린이공원,어린이공원,,서울특별시 양천구 신월동 542,신월4동,11150600,37.518623,126.839964,1010.44,야외헬스형운동기구6개,그네+조합놀이터+흔들놀이기구2개,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.839964 37.518623),PC029.jpeg
PC030,11470-00045,문화어린이공원,어린이공원,,서울특별시 양천구 신월동 515,신월4동,11150600,37.521225,126.842752,954.77,야외헬스형운동기구4개,조합놀이터,파고라,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-10-19,POINT(126.842752 37.521225),PC030.jpeg
PC031,11470-00047,태양어린이공원,어린이공원,,서울특별시 양천구 신월동 422-1,신월4동,11150600,37.524402,126.838609,989.61,야외헬스형운동기구2개,기타놀이기구+오르는기구2개+조합놀이터,,,경로당+스마트교통알리미2개,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.838609 37.524402),PC031.jpeg
PC032,11470-00051,당뒤어린이공원,어린이공원,,서울특별시 양천구 신월동 13-1,신월5동,11150610,37.541479,126.828569,1029.99,야외헬스형운동기구5개,그네+조합놀이터+흔들놀이기구,,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.828569 37.541479),PC032.jpeg
PC033,11470-00052,방아다리어린이공원,어린이공원,,서울특별시 양천구 신월동 56-1,신월5동,11150610,37.538693,126.828358,853.67,야외헬스형운동기구5개,조합놀이터,,,지압길,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.828358 37.538693),PC033.jpeg
PC034,11470-00053,송죽어린이공원,어린이공원,,서울특별시 양천구 신월동 65,신월5동,11150610,37.539429,126.833885,411.74,,그네+미끄럼틀2개+오르는기구2개,음수대,,스마트교통알리미2개,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.833885 37.539429),PC034.jpeg
PC035,11470-00050,신오어린이공원,어린이공원,,서울특별시 양천구 신월동 73-2,신월5동,11150610,37.53822,126.831558,936.35,야외헬스형운동기구2개,건너는기구+조합놀이터+흔들놀이기구,음수대+파고라2개+평상,,경로당,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.831558 37.538220),PC035.jpeg
PC036,11470-00054,강신어린이공원,어린이공원,,서울특별시 양천구 신월동 1012-2,신월6동,11150620,37.515553,126.838449,1505.51,야외헬스형운동기구4개,건너는기구+미끄럼틀+조합놀이터,음수대+파고라2개,,,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.838449 37.515553),PC036.jpeg
PC037,11470-00055,강월어린이공원,어린이공원,,서울특별시 양천구 신월동 1004,신월6동,11150620,37.515557,126.836291,3256.56,,그네+조합놀이터+흔들놀이기구3개,파고라2개+화장실,,경로당+지압길,1982-04-03,양천구 공원녹지과,02-2620-3570,,2022-11-11,POINT(126.836291 37.515557),PC037.jpeg
